rodada_id,clube_casa_id,clube_visitante_id,placar_oficial_mandante,placar_oficial_visitante,clube_casa,clube_visitante,ano,partidas.partida_data,partidas.local
25,262,314,1,1,Flamengo,Avaí,2017,23/09/2017 19:00,Luso-Brasileiro
25,266,275,0,1,Fluminense,Palmeiras,2017,24/09/2017 16:00,Maracanã
25,282,287,1,3,Atlético-MG,Vitória,2017,24/09/2017 19:00,Independência
25,373,283,1,2,Atlético-GO,Cruzeiro,2017,24/09/2017 16:00,Olímpico (GO)
25,277,293,1,0,Santos,Atlético-PR,2017,23/09/2017 21:00,Vila Belmiro
25,265,284,1,0,Bahia,Grêmio,2017,24/09/2017 19:00,Fonte Nova
25,292,267,1,1,Sport,Vasco,2017,25/09/2017 20:00,Ilha do Retiro
25,315,303,1,0,Chapecoense,Ponte Preta,2017,24/09/2017 16:00,Arena Condá
25,294,263,2,3,Coritiba,Botafogo,2017,24/09/2017 16:00,Couto Pereira
25,276,264,1,1,São Paulo,Corinthians,2017,24/09/2017 11:00,Morumbi
