rodada_id,clube_casa_id,clube_visitante_id,placar_oficial_mandante,placar_oficial_visitante,clube_casa,clube_visitante,ano,partidas.partida_data,partidas.local
30,276,262,2,0,São Paulo,Flamengo,2017,22/10/2017 17:00,Pacaembu
30,284,275,1,3,Grêmio,Palmeiras,2017,22/10/2017 17:00,Arena do Grêmio
30,283,282,1,3,Cruzeiro,Atlético-MG,2017,22/10/2017 17:00,Mineirão
30,315,266,2,0,Chapecoense,Fluminense,2017,22/10/2017 19:00,Arena Condá
30,293,292,2,1,Atlético-PR,Sport,2017,22/10/2017 17:00,Arena da Baixada
30,267,294,1,1,Vasco,Coritiba,2017,21/10/2017 17:00,Maracanã
30,303,314,1,2,Ponte Preta,Avaí,2017,22/10/2017 19:00,Moisés Lucarelli
30,277,373,1,0,Santos,Atlético-GO,2017,22/10/2017 17:00,Vila Belmiro
30,265,287,2,1,Bahia,Vitória,2017,22/10/2017 17:00,Fonte Nova
30,263,264,2,1,Botafogo,Corinthians,2017,23/10/2017 20:00,Engenhão
