rodada_id,clube_casa_id,clube_visitante_id,placar_oficial_mandante,placar_oficial_visitante,clube_casa,clube_visitante,ano,partidas.partida_data,partidas.local
35,294,262,1,0,Coritiba,Flamengo,2017,16/11/2017 21:00,Couto Pereira
35,275,292,5,1,Palmeiras,Sport,2017,16/11/2017 20:00,Arena Palmeiras
35,267,282,1,1,Vasco,Atlético-MG,2017,15/11/2017 21:45,São Januário
35,283,314,2,2,Cruzeiro,Avaí,2017,15/11/2017 19:30,Mineirão
35,315,287,2,1,Chapecoense,Vitória,2017,16/11/2017 20:00,Arena Condá
35,303,293,2,1,Ponte Preta,Atlético-PR,2017,15/11/2017 17:00,Moisés Lucarelli
35,284,276,1,0,Grêmio,São Paulo,2017,15/11/2017 19:30,Arena do Grêmio
35,265,277,2,3,Bahia,Santos,2017,16/11/2017 21:00,Fonte Nova
35,264,266,3,1,Corinthians,Fluminense,2017,15/11/2017 21:45,Arena Corinthians
35,263,373,1,2,Botafogo,Atlético-GO,2017,16/11/2017 20:00,Engenhão
