clube_id,clube,rodada_id,clube_rank,ano
282,Atlético-MG,26,4,2014
293,Atlético-PR,26,12,2014
265,Bahia,26,14,2014
263,Botafogo,26,15,2014
315,Chapecoense,26,17,2014
264,Corinthians,26,6,2014
294,Coritiba,26,20,2014
288,Criciúma,26,19,2014
283,Cruzeiro,26,1,2014
316,Figueirense,26,11,2014
262,Flamengo,26,13,2014
266,Fluminense,26,7,2014
290,Goiás,26,10,2014
284,Grêmio,26,5,2014
285,Internacional,26,2,2014
275,Palmeiras,26,16,2014
277,Santos,26,8,2014
276,SãoPaulo,26,3,2014
292,Sport,26,9,2014
287,Vitória,26,18,2014
