clube_id,clube,rodada_id,clube_rank,ano
282,Atlético-MG,27,6,2014
293,Atlético-PR,27,15,2014
265,Bahia,27,16,2014
263,Botafogo,27,18,2014
315,Chapecoense,27,14,2014
264,Corinthians,27,5,2014
294,Coritiba,27,17,2014
288,Criciúma,27,20,2014
283,Cruzeiro,27,1,2014
316,Figueirense,27,12,2014
262,Flamengo,27,11,2014
266,Fluminense,27,8,2014
290,Goiás,27,10,2014
284,Grêmio,27,4,2014
285,Internacional,27,3,2014
275,Palmeiras,27,13,2014
277,Santos,27,7,2014
276,SãoPaulo,27,2,2014
292,Sport,27,9,2014
287,Vitória,27,19,2014
