clube_id,clube,rodada_id,clube_rank,ano
282,Atlético-MG,6,7,2014
293,Atlético-PR,6,14,2014
265,Bahia,6,11,2014
263,Botafogo,6,17,2014
315,Chapecoense,6,20,2014
264,Corinthians,6,10,2014
294,Coritiba,6,18,2014
288,Criciúma,6,12,2014
283,Cruzeiro,6,1,2014
316,Figueirense,6,19,2014
262,Flamengo,6,16,2014
266,Fluminense,6,3,2014
290,Goiás,6,6,2014
284,Grêmio,6,2,2014
285,Internacional,6,5,2014
275,Palmeiras,6,4,2014
277,Santos,6,13,2014
276,SãoPaulo,6,9,2014
292,Sport,6,8,2014
287,Vitória,6,15,2014
