clube_id,clube,rodada_id,clube_rank,ano
282,Atlético-MG,33,4,2014
293,Atlético-PR,33,9,2014
265,Bahia,33,19,2014
263,Botafogo,33,18,2014
315,Chapecoense,33,16,2014
264,Corinthians,33,5,2014
294,Coritiba,33,15,2014
288,Criciúma,33,20,2014
283,Cruzeiro,33,1,2014
316,Figueirense,33,13,2014
262,Flamengo,33,11,2014
266,Fluminense,33,7,2014
290,Goiás,33,10,2014
284,Grêmio,33,3,2014
285,Internacional,33,6,2014
275,Palmeiras,33,14,2014
277,Santos,33,8,2014
276,SãoPaulo,33,2,2014
292,Sport,33,12,2014
287,Vitória,33,17,2014
