clube_id,clube,rodada_id,clube_rank,ano
282,Atlético-MG,34,6,2014
293,Atlético-PR,34,10,2014
265,Bahia,34,19,2014
263,Botafogo,34,18,2014
315,Chapecoense,34,17,2014
264,Corinthians,34,4,2014
294,Coritiba,34,16,2014
288,Criciúma,34,20,2014
283,Cruzeiro,34,1,2014
316,Figueirense,34,13,2014
262,Flamengo,34,8,2014
266,Fluminense,34,7,2014
290,Goiás,34,11,2014
284,Grêmio,34,3,2014
285,Internacional,34,5,2014
275,Palmeiras,34,14,2014
277,Santos,34,9,2014
276,SãoPaulo,34,2,2014
292,Sport,34,12,2014
287,Vitória,34,15,2014
