clube_id,clube,rodada_id,clube_rank,ano
282,Atlético-MG,20,8,2014
293,Atlético-PR,20,13,2014
265,Bahia,20,20,2014
263,Botafogo,20,14,2014
315,Chapecoense,20,16,2014
264,Corinthians,20,3,2014
294,Coritiba,20,17,2014
288,Criciúma,20,19,2014
283,Cruzeiro,20,1,2014
316,Figueirense,20,11,2014
262,Flamengo,20,12,2014
266,Fluminense,20,6,2014
290,Goiás,20,9,2014
284,Grêmio,20,5,2014
285,Internacional,20,4,2014
275,Palmeiras,20,15,2014
277,Santos,20,10,2014
276,SãoPaulo,20,2,2014
292,Sport,20,7,2014
287,Vitória,20,18,2014
