clube_id,clube,rodada_id,clube_rank,ano
327,América-MG,36,20,2016
282,Atlético-MG,36,4,2016
293,Atlético-PR,36,5,2016
263,Botafogo,36,6,2016
315,Chapecoense,36,9,2016
264,Corinthians,36,7,2016
294,Coritiba,36,14,2016
283,Cruzeiro,36,12,2016
316,Figueirense,36,18,2016
262,Flamengo,36,3,2016
266,Fluminense,36,11,2016
284,Grêmio,36,8,2016
285,Internacional,36,17,2016
275,Palmeiras,36,1,2016
303,PontePreta,36,10,2016
344,SantaCruz,36,19,2016
277,Santos,36,3,2016
276,SãoPaulo,36,13,2016
292,Sport,36,15,2016
287,Vitória,36,16,2016
