clube_id,clube,rodada_id,clube_rank,ano
327,América-MG,30,20,2016
282,Atlético-MG,30,3,2016
293,Atlético-PR,30,8,2016
263,Botafogo,30,5,2016
315,Chapecoense,30,11,2016
264,Corinthians,30,9,2016
294,Coritiba,30,13,2016
283,Cruzeiro,30,12,2016
316,Figueirense,30,18,2016
262,Flamengo,30,2,2016
266,Fluminense,30,6,2016
284,Grêmio,30,7,2016
285,Internacional,30,17,2016
275,Palmeiras,30,1,2016
303,PontePreta,30,10,2016
344,SantaCruz,30,19,2016
277,Santos,30,4,2016
276,SãoPaulo,30,14,2016
292,Sport,30,16,2016
287,Vitória,30,15,2016
