clube_id,clube,rodada_id,clube_rank,ano
327,América-MG,15,20,2016
282,Atlético-MG,15,8,2016
293,Atlético-PR,15,5,2016
263,Botafogo,15,15,2016
315,Chapecoense,15,13,2016
264,Corinthians,15,2,2016
294,Coritiba,15,19,2016
283,Cruzeiro,15,18,2016
316,Figueirense,15,16,2016
262,Flamengo,15,6,2016
266,Fluminense,15,10,2016
284,Grêmio,15,3,2016
285,Internacional,15,11,2016
275,Palmeiras,15,1,2016
303,PontePreta,15,7,2016
344,SantaCruz,15,14,2016
277,Santos,15,4,2016
276,SãoPaulo,15,9,2016
292,Sport,15,17,2016
287,Vitória,15,12,2016
