clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,PE,RB,SG,G,CV,FD,I,FT,DD,DP,GS,PP,GC,ano
341,CSA,6,Nulo,1,gol,Jordi,86776,25,-2,6.1,24,10.48,-1.77,12.25,NA,4,3,NA,3,15,NA,8,NA,NA,NA,NA,NA,57,2,33,NA,NA,2019
354,Ceará,6,Nulo,1,gol,Matheus Cabral,93795,25,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Zé Marcos,90943,25,0,-0.1,1,0.77,0,0.77,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Gustavo,86932,25,-2.5,1.19,12,3.02,-0.51,3.5300000000000002,NA,1,14,5,10,2,2,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,5,Contundido,5,ata,Everaldo ,91151,25,0,2.62,10,3.91,0,3.91,1,2,15,8,15,7,8,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,4,mei,Gustavo Blanco,91191,25,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,2,lat,Leonardo,86973,25,0,2.7,9,5.41,0,5.41,NA,2,9,3,1,18,7,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Rodriguez,91251,25,0,6.17,6,4.69,0,4.69,1,NA,2,1,1,11,14,3,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Zeca,87192,25,5.9,4.05,16,7.84,0.75,7.09,NA,3,12,NA,5,31,35,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,5,ata,Pepê,91201,25,15.4,3.4,19,7.58,2.07,5.51,1,1,10,12,14,29,10,NA,5,NA,6,7,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,3,zag,Emerson Santos,86972,25,0,2.88,11,4.12,0,4.12,NA,3,13,NA,3,22,13,4,1,NA,2,1,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,2,Dúvida,4,mei,Leonardo Valencia,91508,25,0.4,1.37,11,3.59,-1.2,4.79,1,2,4,6,4,17,3,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,3,zag,Pedro Henrique,87225,25,0,4.79,12,8.93,0,8.93,NA,NA,2,3,12,16,15,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,3,zag,Arboleda,91573,25,6.8,2.35,16,7.26,0.69,6.57,1,5,19,5,11,31,15,5,NA,NA,4,1,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Leandro Barcia,91242,25,1.7,3.06,22,8.48,-0.46,8.940000000000001,1,5,35,16,25,31,20,NA,4,NA,9,3,1,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,5,ata,Rony,91607,25,2.7,5.07,18,12.68,-0.43,13.11,3,5,39,27,40,36,18,NA,4,NA,14,8,1,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Perri,91260,25,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,3,zag,Nino,91708,25,9,3.08,22,5.33,0.53,4.8,1,6,23,5,13,20,31,5,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Soteldo,87258,25,0,3.24,21,6.79,0,6.79,2,9,13,14,30,50,18,NA,4,NA,12,10,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,3,Suspenso,4,mei,Nathan,87009,25,0.7,2.95,15,5.3,-1.13,6.43,NA,2,17,5,5,20,13,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,3,zag,Kannemann,87342,25,0,4.53,8,13.02,0,13.02,NA,4,17,NA,11,9,18,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,3,zag,Gabriel,87393,25,-0.4,3.56,23,8.52,-1.66,10.18,NA,3,9,3,20,34,31,7,1,NA,1,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,2,lat,Caíque Sá,87437,25,0,-0.25,2,3.03,0,3.03,NA,1,4,NA,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,1,gol,Matheus Alves,91712,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,4,mei,Yago Felipe,87747,25,6.2,3.26,19,5.66,0.2,5.46,1,5,26,3,28,27,36,NA,1,NA,2,1,2,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Caíque França,91808,25,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Thaciano,87470,25,2.2,2.45,18,4.71,0.38,4.33,1,4,19,4,15,16,23,NA,1,NA,8,3,NA,NA,NA,NA,NA,NA,2019
290,Goiás,5,Contundido,3,zag,David Duarte,91772,25,0,2.92,7,8.03,0,8.03,NA,NA,2,3,3,10,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Tréllez,87679,25,0,1.58,4,4.35,0,4.35,NA,NA,5,6,4,2,1,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Kevin ,91888,25,0,1.97,4,6.04,0,6.04,NA,1,1,1,2,13,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Felipe,91733,25,6,2.65,20,7,0.49,6.51,1,8,42,3,19,70,61,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Gustavo Scarpa,87999,25,10.5,3.46,17,6.48,1.18,5.300000000000001,3,1,12,14,11,42,10,NA,2,NA,14,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,2,Dúvida,4,mei,Sornoza,87877,25,0,2.39,14,4.42,0,4.42,1,3,15,10,16,16,14,NA,NA,NA,6,1,1,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Jorge,88065,25,11.8,7.31,20,16.53,0.59,15.940000000000001,4,3,25,11,32,37,38,11,1,NA,10,2,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,2,Dúvida,4,mei,Vitor Bueno,87552,25,7.3,2.81,15,6.53,0.82,5.71,NA,NA,7,6,15,18,15,NA,1,NA,2,NA,2,NA,NA,NA,NA,NA,2019
263,Botafogo,2,Dúvida,4,mei,Yuri,88125,25,2.5,0.15,6,2.15,0.49,1.66,NA,1,4,1,4,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,4,mei,Arrascaeta,87863,25,0,11.75,14,18.35,0,18.35,8,1,14,12,30,54,26,NA,10,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,3,Suspenso,4,mei,Gabriel Dias,88368,25,-5.6,1.29,20,2.81,-0.91,3.72,NA,4,25,4,27,19,24,NA,NA,1,4,1,NA,NA,NA,NA,NA,NA,2019
354,Ceará,5,Contundido,5,ata,João Paulo,91972,25,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Paulo Ricardo,88224,25,0,-0.3,1,2.22,0,2.22,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Giovanny ,92085,25,0,-1.6,1,1.24,0,1.24,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,2,lat,Daniel Guedes ,88225,25,0,2.31,14,5.6,0,5.6,NA,2,23,2,7,35,22,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Bruno Guimarães,98352,25,0,3.89,16,11.82,0,11.82,1,2,26,11,49,59,20,NA,2,NA,8,NA,1,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Bruno Sávio,89101,25,0,1.63,4,2.22,0,2.22,NA,NA,2,2,1,6,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Marlon,88427,25,-0.8,0.19,13,2.66,-0.1,2.7600000000000002,NA,1,10,NA,8,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Vinícius Tanque,88651,25,0.7,-0.72,4,1.21,0.34,0.8699999999999999,NA,NA,8,NA,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Leandro Carvalho,88669,25,0,3.42,19,10.65,0,10.65,1,3,14,13,27,38,17,NA,3,NA,10,2,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,André Luís,92146,25,3,2,16,4.55,0.53,4.02,NA,4,10,3,30,16,3,NA,2,NA,4,4,3,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Matheus Vargas,87929,25,0,1.6,2,2.2,0,2.2,NA,NA,3,NA,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Diego Tavares,83869,25,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Jean,89150,25,0,0.93,3,3.57,0,3.57,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,5,ata,Clayson,83817,25,2.9,2.72,21,9.94,-0.4,10.34,2,4,27,7,33,44,16,NA,3,NA,8,2,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Ramón Martínez,92155,25,0,1.78,7,4.73,0,4.73,NA,1,5,1,4,6,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Juninho,92182,25,1.2,3.91,15,5.93,-0.78,6.71,NA,1,8,3,9,27,11,9,NA,NA,4,1,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Iago Maidana,89226,25,0,3.35,4,3.9,0,3.9,NA,2,5,2,2,9,6,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Jean Carlos,84253,25,0,-2.8,1,0.78,0,0.78,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Max Walef,84338,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Gerson,89256,25,0.1,4.13,15,8.74,-0.54,9.280000000000001,1,1,35,4,51,40,28,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Kaio Magno,106200,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Lucas Figueiredo,106201,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,João Pedro ,89273,25,-0.4,2.15,2,3.95,-0.94,4.890000000000001,NA,1,4,NA,NA,3,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Raul,92496,25,0,4.48,19,7.94,0,7.94,2,5,35,8,47,36,50,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Bruno Melo,84339,25,0,3.22,5,3.2,0,3.2,NA,NA,7,1,9,9,3,2,1,1,NA,1,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno Gomes,106202,25,0,1.2,1,1.09,0,1.09,NA,1,2,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Kawan,106219,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Fernando Medeiros,92841,25,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Rafinha,84381,25,0,1.28,5,2.73,0,2.73,NA,NA,3,2,3,3,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Deyverson,92708,25,1.7,3.44,11,9.38,-0.01,9.39,2,2,13,11,28,20,8,NA,1,NA,7,14,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato Kayzer,92696,25,0,1.21,11,2.18,0,2.18,NA,NA,10,2,8,5,4,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Saulo,89492,25,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Caju,89342,25,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Caio Alexandre,106323,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Ronaldo,92981,25,3.7,3.38,11,4.91,-0.07,4.98,1,2,17,3,10,21,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Marx Lênin,106312,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Jhonata Robert,106371,25,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Romarinho,84523,25,0,2.73,20,5.45,0,5.45,2,1,13,6,44,42,14,NA,1,NA,9,2,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Marcinho,93797,25,0,3.48,17,6.36,0,6.36,2,2,25,10,13,43,15,5,1,NA,5,1,1,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Keiller,93834,25,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,3,zag,Joel Carli,93414,25,-1.8,1.43,17,5.59,-0.38,5.97,NA,7,15,2,13,40,14,5,NA,NA,1,1,1,NA,NA,NA,NA,NA,2019
