clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,RB,FD,PE,I,DD,GS,GC,FT,G,CV,SG,DP,PP,ano
293,Athlético-PR,7,Provável,1,gol,Santos,69012,2,-1,-0.05,2,4.29,-1.88,6.17,NA,NA,NA,NA,1,NA,NA,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,2,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Ernando,49651,2,8,6,2,9.14,2.9,6.24,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Nilton,38573,2,0,1.3,1,5.06,0,5.06,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Enderson Moreira,62137,2,1.65,5.23,2,10.7,0.43,10.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,5,ata,Gilberto,61188,2,2.1,5.15,2,13.93,-0.78,14.709999999999999,1,NA,3,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,2,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,5,ata,Fernandão,62033,2,1.5,1.35,2,6.12,-0.96,7.08,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,3,zag,Jackson,70934,2,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Rogério,73540,2,3.1,5.4,2,10.95,0.75,10.2,NA,NA,1,1,3,NA,2,3,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
265,Bahia,7,Provável,4,mei,Elton,71719,2,5.2,3.05,2,5.98,1.19,4.790000000000001,NA,NA,8,1,NA,7,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Renzo,104332,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Lucas Fonseca,80189,2,-0.6,-0.45,2,3.02,-1.63,4.65,NA,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Clayton,81770,2,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Rodrigo Moledo,63354,2,2.9,1.45,2,3.77,0.3,3.47,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Moisés,90444,2,7.2,7.7,2,13.63,2.39,11.24,1,NA,3,1,NA,7,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Arthur Caíke,80337,2,8.9,7.8,2,13.18,2.98,10.2,NA,NA,3,2,NA,NA,1,4,1,NA,NA,NA,NA,2,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,2,5.7,4.95,2,8.3,1.92,6.380000000000001,NA,1,2,3,3,7,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Yuri,83263,2,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Flávio,91102,2,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Paulinho,91626,2,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
