clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,PE,RB,CA,DD,GS,SG,DP,FT,I,G,A,CV,PP,GC,ano
267,Vasco,7,Provável,5,ata,Marrony,101717,8,3.6,4.46,7,12.66,-0.22,12.88,9,3,9,16,17,12,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Marcinho,90458,8,0,5.63,7,8.16,0,8.16,5,4,2,6,10,10,2,NA,NA,NA,NA,NA,3,2,2,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Marlon,88427,8,3.7,1.73,4,4.23,0.57,3.6600000000000006,2,NA,NA,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Patrick,91914,8,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Quintero,96382,8,0.7,0.74,8,2.37,-0.37,2.74,4,1,NA,5,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,5,ata,Tiago Reis,104678,8,7.8,3.5,3,5.5,1.18,4.32,5,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Alan,105395,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Felipe,91733,8,0,1.8,5,5.25,-0.71,5.96,6,2,NA,5,23,12,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Araruna,95660,8,0,1.45,2,4.11,0,4.11,1,NA,NA,NA,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Lucas Santos,101718,8,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Rafael França,101719,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,2,Dúvida,3,zag,Miranda,101720,8,0,0.7,1,2.57,0,2.57,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Matheus Alessandro,97527,8,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Júnior Santos,101002,8,0,2,6,5.64,0,5.64,4,3,6,3,8,3,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Gustavo Coutinho,104362,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,1,gol,João Pedro,101721,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Moresche,102719,8,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,D'Alessandro,62023,8,0,0.86,5,6.69,0,6.69,NA,3,4,4,20,1,NA,NA,NA,NA,NA,NA,2,NA,1,NA,1,NA,2019
267,Vasco,6,Nulo,3,zag,Ulisses,101647,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Talison,105173,8,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,8,4.6,2.97,3,6.29,0.79,5.5,3,1,3,3,9,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
285,Internacional,2,Dúvida,4,mei,Edenílson,63289,8,-0.1,3.46,7,8.46,-2.11,10.57,7,2,1,8,20,5,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,8,0,2.8,1,5.23,0,5.23,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,8,-1,5.56,8,10.55,-1.57,12.120000000000001,NA,NA,NA,3,NA,NA,NA,14,7,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Bill,105272,8,0,-0.3,1,0.73,0,0.73,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Marcelo Hermes,82639,8,0,-1.1,1,3.14,0,3.14,2,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
