clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,A,CA,FD,FF,FS,FT,G,I,PE,RB,CV,PP,DD,DP,GS,SG,GC,ano
282,Atlético-MG,6,Nulo,4,mei,Gabriel,104404,28,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Giovanni Augusto,68938,28,0,1.76,12,4.32,0,4.32,16,1,1,6,8,15,NA,NA,NA,37,14,1,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Ronaldo Alves,68950,28,0,1.9,5,4.58,0,4.58,8,NA,1,NA,4,5,NA,NA,NA,4,4,NA,NA,NA,NA,NA,1,NA,2019
275,Palmeiras,7,Provável,2,lat,Diogo Barbosa,70916,28,3.6,5.57,20,13.88,-0.31,14.190000000000001,27,1,2,3,4,19,NA,NA,1,27,54,NA,NA,NA,NA,NA,7,NA,2019
277,Santos,2,Dúvida,5,ata,Marinho,68952,28,3.9,3.52,20,7.51,0.12,7.39,29,1,6,13,16,46,1,3,4,32,20,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Abner Vinícius,104513,28,0,2.06,5,5.07,0,5.07,4,1,NA,NA,NA,1,NA,NA,NA,9,3,NA,NA,NA,NA,NA,1,NA,2019
341,CSA,7,Provável,4,mei,João Vitor,68987,28,0,2.04,11,4.38,0,4.38,24,NA,4,1,1,6,NA,NA,1,17,32,1,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Marquinhos Gabriel,68954,28,9,1.89,20,5.23,1.14,4.090000000000001,9,2,2,5,6,17,1,NA,1,21,14,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Neto,69008,28,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,5,ata,Tailson,104578,28,1.7,1.78,6,1.32,0.32,1,14,NA,NA,4,4,10,NA,1,3,16,2,NA,NA,NA,NA,NA,NA,NA,2019
