clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FD,FF,FS,G,PE,RB,FC,SG,I,A,DD,GS,FT,DP,GC,PP,CV,ano
290,Goiás,7,Provável,5,ata,Leandro Barcia,91242,9,12.8,5.51,8,10.68,3,7.68,2,5,9,15,3,12,8,16,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Kevin ,91888,9,0,4.6,2,7.49,0,7.49,NA,NA,1,2,NA,7,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,1,gol,Matheus Alves,91712,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Daniel Guedes ,88225,9,0.3,1,7,3.78,0.01,3.77,1,1,1,5,NA,20,8,11,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Giovanny ,92085,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Airton,61985,9,0,-1.75,4,1.57,0,1.57,2,NA,NA,3,NA,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019
266,Fluminense,5,Contundido,4,mei,Bruno Silva,68698,9,0,5.33,3,9.58,0,9.58,NA,1,2,7,NA,6,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Júnior Brandão,93909,9,0,-0.48,4,1.81,0,1.81,3,1,3,4,NA,NA,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Loyola,94680,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Jefferson,95220,9,-1.1,4.77,8,9.78,-1.73,11.51,1,1,2,12,1,22,15,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Digão,68886,9,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Jean Pyerre,98832,9,7.9,6.07,6,10.13,-0.2,10.33,NA,1,7,8,2,13,7,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,9,0,-1.5,1,4.02,0,4.02,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,6,tec,Fernando Diniz,72391,9,0.62,2.57,9,5.9,-0.5,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Luciano,80287,9,0,4.33,6,6.83,0,6.83,3,6,7,8,2,16,7,12,NA,3,1,NA,NA,NA,NA,NA,1,NA,2019
266,Fluminense,6,Nulo,5,ata,Pablo Dyego,86444,9,0,0,1,2.17,0,2.17,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Marquinhos Gabriel,68954,9,0,0.57,6,3.43,-0.33,3.7600000000000002,NA,NA,NA,3,NA,7,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,5,ata,Sassá,79578,9,9.2,2.78,5,7.37,1.57,5.8,NA,3,2,6,1,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Thalles,95222,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Marcinho,95332,9,0,-0.7,2,2.04,0,2.04,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Jadson,80129,9,2.7,0.74,5,3.67,0.48,3.19,NA,1,1,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Lucas Silva,79701,9,0,1.18,6,4.1,0,4.1,NA,3,1,2,NA,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,2,lat,Igor Julião,81951,9,-4.1,1.56,5,2.38,-1.63,4.01,1,NA,1,5,NA,5,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Michael,99392,9,3,3.58,8,6.08,-0.25,6.33,NA,8,6,6,1,16,8,7,NA,7,NA,NA,NA,1,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Vinícius,104660,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Figueira,102565,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,3,Suspenso,4,mei,Lucas Romero,84558,9,-2.4,2.45,8,3.2,-0.88,4.08,3,1,1,13,NA,18,19,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Paulo Ricardo,88224,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Ariel Cabral,80363,9,0.5,0.42,4,2.68,-0.41,3.0900000000000003,2,NA,3,2,NA,9,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,1,gol,Felipe Mosquete,105397,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Iago Mendonça,105278,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Raniel,86797,9,0,0.65,2,5.94,-0.37,6.3100000000000005,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Ratinho,101841,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Dodi,89883,9,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,David,90309,9,0,0.95,7,4.8,0,4.8,NA,3,4,4,NA,4,3,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,3,zag,Fabrício Bruno,90768,9,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,2,lat,Orejuela,95352,9,0,3.4,2,5.55,0,5.55,NA,1,NA,2,NA,3,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Rafael Barbosa,105396,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Alan,105395,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Rafael Santos,97907,9,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,3,zag,Murilo,97653,9,0,-1.8,1,2.22,0,2.22,NA,NA,NA,1,NA,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2019
284,Grêmio,7,Provável,4,mei,Maicon,38196,9,0,2.15,4,8.35,0,8.35,2,1,2,2,NA,14,7,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Léo Moura,37701,9,0,4.1,2,6.12,0,6.12,NA,NA,NA,2,NA,6,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,2,lat,Marlon,91706,9,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Everaldo ,91151,9,3.5,1.3,4,3.34,0.74,2.5999999999999996,1,NA,1,5,NA,2,2,5,NA,2,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,9,1,1.65,6,8.23,0.12,8.110000000000001,NA,6,1,6,NA,17,4,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,9,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,3,zag,Nino,91708,9,0.3,1.6,8,2.22,-0.19,2.41,3,1,1,6,1,9,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,5,ata,Pedro,94583,9,0,5.9,5,12.31,0,12.31,NA,2,2,3,3,NA,2,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vitor Eudes,102137,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Daniel,93791,9,-0.9,1.7,7,4.07,-0.43,4.5,1,3,3,10,NA,22,5,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,3,zag,Cacá,102340,9,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Júlio César,49673,9,0,5,1,6.05,0,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,2019
