clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,PE,RB,SG,A,CV,FS,I,CA,G,DD,GS,DP,FT,PP,GC,ano
283,Cruzeiro,7,Provável,4,mei,Henrique,37694,30,3.3,3.37,25,8.18,-0.09,8.27,38,3,13,37,57,NA,NA,NA,46,1,4,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,30,0,5,1,7.07,0,7.07,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Rafinha,38144,30,-1.1,4.29,16,9.17,-1.35,10.52,24,3,1,28,19,8,4,NA,13,1,5,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Léo Moura,37701,30,8.2,2.29,15,6.37,1.4,4.970000000000001,6,NA,2,37,9,5,1,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,5,ata,Rafael Sobis,37798,30,0,4.45,14,7.76,0,7.76,12,16,15,20,10,NA,3,NA,10,NA,4,2,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Marcelo Boeck,37788,30,0,4.41,7,4.9,0,4.9,NA,NA,NA,3,NA,2,NA,NA,1,NA,1,NA,15,10,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,1,gol,Anderson,38001,30,0,-1,1,2.08,0,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2019
283,Cruzeiro,3,Suspenso,5,ata,Fred,38162,30,-0.7,1.83,25,5.48,0.19,5.29,42,12,12,51,5,NA,3,NA,35,14,9,5,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,30,8.7,2.32,23,10.26,1.31,8.95,27,2,2,41,16,4,1,NA,17,2,4,3,NA,NA,NA,1,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Maicon,38196,30,-1.8,3.31,11,7.07,-2.25,9.32,12,2,2,30,13,NA,2,NA,8,NA,5,3,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Thiago Neves,38277,30,7.3,4.66,24,9.65,0.89,8.76,22,20,31,54,14,NA,4,NA,27,2,7,6,NA,NA,NA,1,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,30,-1.4,5.03,24,10.77,-1.78,12.549999999999999,45,15,18,36,8,NA,2,NA,34,11,7,12,NA,NA,NA,2,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,30,0,-0.1,15,2.86,0,2.86,6,1,6,21,1,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,30,5.7,2.79,27,9.28,0.4,8.879999999999999,31,4,6,32,56,NA,NA,1,39,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Diego Tardelli,38231,30,2.9,1.99,23,8.25,0.05,8.2,20,13,7,50,13,NA,1,NA,19,5,1,3,NA,NA,NA,NA,1,NA,2019
341,CSA,6,Nulo,2,lat,Carlinhos,38451,30,0,4.56,24,7.45,0,7.45,18,6,10,56,39,8,NA,NA,21,2,2,2,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,30,0,6.31,7,6.35,0,6.35,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,21,9,NA,NA,NA,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Adriano,38336,30,0,2.67,8,9.3,0,9.3,9,NA,1,18,8,2,1,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,30,6.7,3.54,17,10.3,1.39,8.91,16,2,4,23,19,6,1,NA,14,2,8,2,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,30,1.7,-0.1,9,1.25,0.47,0.78,15,4,NA,14,4,1,NA,NA,10,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,30,0.4,5.34,25,8.17,-2.1,10.27,NA,NA,NA,14,2,11,NA,NA,3,NA,NA,NA,34,19,2,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Marquinhos Silva,38515,30,0,1.8,13,5.43,0,5.43,15,NA,9,24,16,1,NA,NA,7,1,2,NA,NA,NA,NA,1,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Edílson,38523,30,0.2,2.37,11,5.03,-1.32,6.3500000000000005,12,NA,4,24,17,3,NA,2,7,NA,2,NA,NA,NA,NA,2,NA,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,30,13.3,6.09,12,17.09,2.24,14.85,29,3,11,43,21,5,3,NA,26,3,3,1,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,7,Provável,6,tec,Vagner Mancini,39850,30,1.81,2.79,5,6.64,-0.01,6.6499999999999995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,30,1,2.02,26,4.06,0.41,3.6499999999999995,16,1,3,47,30,6,NA,1,26,NA,6,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,5,Contundido,5,ata,Vagner Love,38959,30,0,2.35,22,5.11,0,5.11,29,5,8,33,13,NA,NA,NA,33,8,4,5,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Nenê,38913,30,0,2.97,19,6.18,-0.01,6.1899999999999995,17,4,18,67,15,NA,2,1,31,2,NA,3,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,30,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,3,zag,Edu Dracena,37657,30,0,4.7,4,6.97,0,6.97,3,1,3,1,4,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Adilson Batista,41258,30,1.45,3.68,8,10.14,-1,11.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Renato,39572,30,0.1,1.84,10,4.6,-0.41,5.01,5,5,5,7,4,NA,NA,NA,18,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Ernando,49651,30,0,4.64,8,10.78,0,10.78,2,NA,NA,3,4,4,NA,NA,4,NA,NA,1,NA,NA,NA,1,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Abel Braga,40006,30,2.15,3.5,15,9.51,-0.64,10.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,30,3.87,3.12,25,8.49,0.25,8.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,30,8.93,4.69,30,13.5,0.71,12.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Cássio,42234,30,-1.8,3.02,24,7.34,0.16,7.18,1,NA,NA,12,NA,10,NA,NA,5,NA,6,NA,25,23,1,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Osvaldo,42222,30,8.3,2.42,25,6.59,1.49,5.1,22,5,14,31,11,NA,4,1,12,NA,2,3,NA,NA,NA,2,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Márcio Azevedo,42491,30,8.6,2.42,21,6.52,1.66,4.859999999999999,27,1,4,42,16,7,3,NA,20,3,5,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,30,-0.6,2.35,8,4.24,-0.38,4.62,7,NA,1,15,7,4,NA,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Willian,42116,30,0,3.16,14,7.65,0,7.65,10,7,3,20,4,NA,1,1,13,2,1,4,NA,NA,NA,1,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,30,1.2,2.53,19,7.93,-0.69,8.62,20,1,2,52,24,5,1,NA,22,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,30,0.7,1.17,13,2.85,0.15,2.7,14,NA,1,7,14,NA,NA,NA,13,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Amaral,42232,30,0,1.11,8,2.79,0,2.79,6,NA,2,4,7,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,2,Dúvida,2,lat,Apodi,51042,30,1.2,3,27,5.77,-1.31,7.08,44,11,9,48,12,7,1,NA,39,9,4,4,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Egídio,42145,30,0,4.21,20,9.81,0,9.81,25,7,7,61,36,7,1,NA,19,1,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,30,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,30,0,-0.43,3,2.96,0,2.96,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Léo,50459,30,0.6,1.83,14,6.11,-0.23,6.340000000000001,17,1,NA,17,15,3,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Elias,54395,30,0,1.43,23,8.2,0,8.2,28,5,7,63,27,NA,1,1,17,NA,3,1,NA,NA,NA,1,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Maurício Ramos,42477,30,0,1.92,12,4.98,0,4.98,15,2,1,14,6,4,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,3,zag,Dedé,60819,30,0,5.08,20,14.63,0,14.63,14,4,6,45,28,8,NA,NA,21,NA,2,3,NA,NA,NA,NA,NA,NA,2019
