clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FF,FS,I,PE,RB,SG,CV,FD,DD,GS,G,DP,PP,FT,GC,ano
283,Cruzeiro,7,Provável,5,ata,Fred,38162,31,0,1.83,25,5.48,0,5.48,3,9,42,12,35,14,51,5,NA,NA,12,NA,NA,5,NA,NA,1,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Adriano,38336,31,0,2.67,8,9.3,0,9.3,1,3,9,1,3,NA,18,8,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,31,0,-0.1,15,2.86,0,2.86,1,3,6,6,3,NA,21,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Vagner Love,38959,31,0,2.35,22,5.11,0,5.11,NA,4,29,8,33,8,33,13,NA,NA,5,NA,NA,5,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Fábio Santos,38229,31,8.5,2.58,24,10.5,0.24,10.26,1,4,27,3,17,2,41,17,5,NA,3,NA,NA,3,NA,NA,1,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,31,0,4.56,24,7.45,0,7.45,NA,2,18,10,21,2,56,39,8,NA,6,NA,NA,2,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Thiago Heleno,38394,31,8.3,0.74,10,2.47,1.22,1.2500000000000002,NA,5,16,3,11,NA,15,4,2,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Abel Braga,40006,31,5.69,3.64,16,10.24,0.73,9.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Marquinhos Silva,38515,31,0,1.8,13,5.43,0,5.43,NA,2,15,9,7,1,24,16,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2019
283,Cruzeiro,7,Provável,4,mei,Thiago Neves,38277,31,0,4.66,24,9.65,0,9.65,4,7,22,31,27,2,54,14,NA,NA,20,NA,NA,6,NA,NA,1,NA,2019
293,Athlético-PR,5,Contundido,2,lat,Jonathan,37662,31,0,4.32,5,7.3,0,7.3,NA,2,4,NA,3,NA,7,6,2,NA,1,NA,NA,1,NA,NA,NA,NA,2019
275,Palmeiras,3,Suspenso,4,mei,Felipe Melo,38545,31,0,2.74,18,7.04,0,7.04,1,7,32,14,26,1,41,26,NA,1,4,NA,NA,3,NA,NA,NA,NA,2019
267,Vasco,3,Suspenso,3,zag,Leandro Castan,38505,31,-5,3.07,18,8.45,-1.85,10.299999999999999,1,9,16,4,15,2,23,20,6,1,2,NA,NA,2,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,31,0,0.28,9,2.71,0,2.71,NA,3,10,2,7,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,31,0,6.31,7,6.35,0,6.35,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,21,9,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,31,8,5.44,26,9.57,1.4,8.17,NA,NA,NA,NA,3,NA,14,2,12,NA,NA,35,19,NA,2,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,31,6.2,2.69,12,6.12,1.09,5.03,NA,2,16,5,10,NA,26,18,4,2,NA,NA,NA,NA,NA,NA,2,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,31,0,3.56,7,6.23,0,6.23,NA,1,7,3,2,1,6,11,NA,NA,4,NA,NA,1,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,31,2.2,3.48,24,13.14,0.46,12.68,4,4,23,15,24,1,26,24,NA,NA,13,NA,NA,2,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Diego,38909,31,0,1.4,10,4.66,0,4.66,NA,5,10,8,16,NA,27,9,NA,NA,6,NA,NA,NA,NA,1,2,NA,2019
266,Fluminense,6,Nulo,4,mei,Nenê,38913,31,-3.3,2.66,20,5.63,-0.55,6.18,2,1,19,18,31,2,68,15,NA,1,4,NA,NA,3,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,31,-3.1,5.38,13,14.55,-2.54,17.09,3,4,30,11,26,3,45,21,5,NA,3,NA,NA,1,NA,NA,1,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,31,0,5.89,12,13.05,0,13.05,NA,NA,21,NA,10,NA,30,36,6,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Renato,39572,31,4.9,2.12,11,5.47,0.87,4.6,NA,2,7,5,23,NA,9,8,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,6,tec,Vagner Mancini,39850,31,8.28,3.71,6,7.87,1.23,6.640000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Márcio Azevedo,42491,31,4.3,2.51,22,6.01,-0.51,6.52,3,5,28,4,22,3,46,16,8,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,4,mei,Douglas,38738,31,0,0.27,12,5.08,0,5.08,1,1,3,6,8,2,34,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Osvaldo,42222,31,4.2,2.49,26,6.11,-0.48,6.59,4,2,22,15,14,NA,32,12,NA,1,6,NA,NA,3,NA,NA,2,NA,2019
315,Chapecoense,6,Nulo,4,mei,Amaral,42232,31,1,1.1,9,2.89,0.1,2.79,NA,NA,7,2,2,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,6,tec,Adilson Batista,41258,31,6.71,4.02,9,11.31,1.17,10.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
