clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,DD,DP,GS,PE,SG,A,FC,FS,RB,FD,FF,FT,G,PP,I,CA,CV,GC,ano
283,Cruzeiro,6,Nulo,4,mei,Michel,103579,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Artur,95799,12,2.6,3.39,11,9.98,0.22,9.76,NA,NA,NA,46,NA,NA,11,15,12,6,8,NA,3,NA,1,3,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Gustavo Bochecha,95798,12,0,0.62,7,5.86,0,5.86,NA,NA,NA,26,NA,NA,4,9,9,NA,4,NA,NA,NA,NA,2,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Ignácio,103523,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,5,ata,Marcos Paulo,103645,12,6.2,4.22,6,4.48,0.71,3.7700000000000005,NA,NA,NA,5,NA,2,2,5,5,2,3,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Cláudio Vitor,98888,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Júnior,103662,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,3,zag,Kaique Rocha,103684,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Rafael Galhardo,68821,12,3.6,2.1,2,3,0.58,2.42,NA,NA,NA,6,1,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
262,Flamengo,2,Dúvida,4,mei,Piris da Motta,95802,12,0,0.75,7,3.28,-0.49,3.7699999999999996,NA,NA,NA,5,NA,NA,4,5,5,NA,1,NA,NA,NA,NA,1,NA,NA,2019
314,Avaí,7,Provável,5,ata,Lourenço,99032,12,5,3.84,9,5.18,0.51,4.67,NA,NA,NA,22,NA,1,9,19,14,6,3,1,NA,NA,1,1,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Alex Nagib,98933,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Jadsom Silva,103695,12,0,0,1,0.76,-0.24,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,4,mei,Rithely,68834,12,6.3,4.43,3,5.89,0.52,5.369999999999999,NA,NA,NA,4,NA,1,5,5,5,1,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,6,tec,Emerson Cris,95830,12,5.61,5.61,1,9.08,0.5,8.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Lucas Braga,99119,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Léo Santos,95820,12,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Michael,99392,12,5.6,3.71,11,6.96,0.53,6.43,NA,NA,NA,21,NA,NA,9,10,11,9,11,2,1,NA,7,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Anderson Ceará,103724,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Bruno Méndez,103700,12,0,3.7,2,5.31,0,5.31,NA,NA,NA,7,1,NA,2,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Neto,103706,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,12,0,4.4,8,12.31,0,12.31,NA,NA,NA,22,3,1,9,12,13,3,4,NA,NA,NA,NA,3,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Ruan,95860,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,12,8,5,11,11.67,0.61,11.06,17,NA,9,NA,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego,99430,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Wesley,99462,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Gabriel,104404,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Igor Reis,104408,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Veron,103764,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Caio,99460,12,0,1.85,2,2.03,0,2.03,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Léo Lopes,96965,12,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Yan Sasse,96055,12,0,2.03,6,4.4,0,4.4,NA,NA,NA,12,NA,NA,8,5,7,1,7,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,João Pedro,104026,12,0,4.57,8,4.87,0,4.87,NA,NA,NA,8,NA,NA,7,9,3,7,5,NA,3,NA,2,1,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Hugo Borges,95875,12,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Wenderson,99474,12,0,2.9,1,3.4,0,3.4,NA,NA,NA,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Lima,96340,12,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Rick,104459,12,0,0.82,4,1.82,0,1.82,NA,NA,NA,5,NA,NA,2,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Walce,104074,12,0,3.57,3,3.67,0,3.67,NA,NA,NA,6,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Quintero,96382,12,1,1.25,12,2.88,0.25,2.63,NA,NA,NA,15,1,NA,4,6,9,1,1,NA,NA,NA,NA,1,NA,NA,2019
