clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FD,FF,FS,I,PE,RB,CA,CV,FT,SG,G,A,PP,DD,GS,DP,GC,ano
277,Santos,6,Nulo,4,mei,Lucas Lourenço,101580,18,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Matheus Dantas,101592,18,0,-0.6,1,1.25,0,1.25,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Raniel,86797,18,3.3,2.12,9,6.66,1.4,5.26,11,6,8,13,3,12,5,2,1,1,NA,1,1,NA,NA,NA,NA,1,2019
266,Fluminense,6,Nulo,5,ata,Ewandro,86842,18,0,-2.5,1,2.46,0,2.46,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Rodrigo Lindoso,72362,18,0,5.53,11,11.35,0,11.35,12,4,5,6,NA,20,28,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,1,gol,Felipe Alves,72372,18,3.7,3.96,17,9.45,-0.14,9.59,1,NA,NA,1,NA,22,NA,2,NA,NA,3,NA,NA,NA,34,23,1,NA,2019
262,Flamengo,6,Nulo,4,mei,Hugo Moura,101594,18,0,0.3,1,2.97,0,2.97,1,NA,NA,NA,NA,3,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Gustavo Campanharo,72497,18,1.3,4.76,16,6.36,-0.79,7.15,17,4,10,25,NA,26,36,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Celsinho,72494,18,0,1.3,4,3.07,0,3.07,2,NA,NA,1,NA,11,4,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,José Welison,86859,18,2.9,2.32,8,4.66,0.14,4.5200000000000005,8,NA,5,5,NA,13,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Gustavo,86932,18,0.5,1.63,7,3.62,-1.05,4.67,9,2,2,5,2,2,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,2,Dúvida,4,mei,Matheus Barbosa,74069,18,1.2,1.4,8,3.54,0.19,3.35,8,1,2,3,1,17,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Emerson Santos,86972,18,0,3.56,9,4.76,0,4.76,10,2,NA,3,1,21,12,3,NA,NA,4,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,3,zag,Vitor Hugo,72605,18,0.7,0.93,3,5.78,-0.14,5.92,2,1,1,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Nathan,87009,18,0,2.54,9,4.86,0,4.86,5,4,4,2,NA,12,4,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Claudio Winck,74074,18,0,2.15,2,4.01,0,4.01,2,NA,2,NA,NA,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,4,mei,Élber,74140,18,1.8,2.48,12,5.73,-0.05,5.78,4,4,3,24,1,15,13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,4,mei,Guerra,74213,18,-1,1.12,5,3.39,-0.46,3.85,6,1,NA,1,NA,7,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,2,lat,Leonardo,86973,18,0,2.7,9,5.41,0,5.41,9,4,3,1,NA,18,7,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Gustavo Scarpa,87999,18,14.4,2.79,10,6.23,2.85,3.3800000000000003,7,6,5,6,NA,26,4,1,NA,NA,NA,2,1,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Paolo Guerrero,75295,18,0,5.03,8,12.65,0,12.65,12,6,9,12,6,12,5,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,2019
