clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,FC,FD,FF,FS,PE,RB,SG,CA,G,I,DD,GS,FT,CV,DP,PP,GC,ano
315,Chapecoense,6,Nulo,5,ata,Renato,39572,22,0,2.62,5,5.2,0,5.2,NA,NA,3,3,10,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Amaral,42232,22,0,1.43,6,2.93,0,2.93,NA,4,NA,NA,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,22,0.83,2.93,17,7.8,-0.24,8.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,2,Dúvida,3,zag,Maurício Ramos,42477,22,0,2.14,9,4.42,0,4.42,NA,13,2,1,8,13,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Egídio,42145,22,3,4.02,13,9.11,-0.27,9.379999999999999,1,15,3,3,14,36,22,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Willian,42116,22,9.4,4.26,9,9.36,0.17,9.19,NA,5,4,NA,9,13,4,NA,1,4,1,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Osvaldo,42222,22,2.7,1.96,18,5.45,0.33,5.12,3,16,4,8,6,23,6,NA,1,2,NA,NA,NA,1,1,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Márcio Azevedo,42491,22,0.9,2.9,14,5.5,0.21,5.29,2,16,1,3,16,30,8,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Cássio,42234,22,12,4.32,17,10.08,2.46,7.62,NA,NA,NA,NA,3,7,NA,8,4,NA,NA,22,12,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Fagner,42500,22,8.2,5.57,15,13.66,1.41,12.25,2,13,2,2,25,53,29,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,22,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,3,zag,Ernando,49651,22,0,4.64,8,10.78,0,10.78,NA,2,NA,NA,4,3,4,4,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,22,0,0.97,3,3.73,0,3.73,NA,3,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,1,gol,Júlio César,49673,22,2,4.34,8,6.29,-1.64,7.93,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,17,13,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,22,0,3.23,6,3.84,0,3.84,NA,7,NA,1,5,13,7,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Alexandre Pato,49675,22,0,5.01,13,8.98,0,8.98,NA,9,5,15,19,23,9,NA,1,5,5,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,5,Contundido,4,mei,Ramires,50293,22,0,1.17,3,6.79,0,6.79,NA,2,NA,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Wilson,50284,22,0,2,1,4.8,0,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,22,0,-1.1,3,3.06,0,3.06,NA,3,NA,NA,2,6,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,22,4.7,4.39,17,11.23,-0.41,11.64,1,34,14,13,24,25,7,NA,3,6,7,NA,NA,2,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,4,mei,Everton,50301,22,0,1.68,16,7.34,0,7.34,2,32,3,3,22,31,18,NA,3,1,7,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,David Braz,50317,22,0,4.84,10,9.26,0,9.26,NA,6,1,5,1,11,12,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Elicarlos,50313,22,-3,0.66,9,3.78,-0.77,4.55,NA,14,2,6,9,16,8,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,22,0,2.46,13,9.46,-0.1,9.56,1,25,4,1,10,18,22,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,22,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,22,2.4,1.15,6,4.67,0,4.67,NA,9,2,1,3,6,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,22,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,3,zag,Léo,50459,22,0,1.92,13,6.34,0,6.34,NA,16,NA,NA,4,15,15,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,22,0,1.3,8,3.33,0,3.33,NA,7,NA,NA,9,2,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,3,Suspenso,2,lat,Eduardo,50645,22,2.7,2.54,15,8.43,0.25,8.18,1,17,NA,NA,19,46,20,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Alecsandro,37673,22,0,0.77,11,4.13,0,4.13,NA,14,5,7,6,12,3,NA,1,1,4,NA,NA,NA,NA,NA,1,NA,2019
341,CSA,7,Provável,2,lat,Apodi,51042,22,1.1,2.65,20,5.3,-1.27,6.57,1,33,6,7,23,41,10,6,3,2,5,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,22,0,9.63,3,8.01,0,8.01,NA,NA,NA,NA,1,2,NA,2,NA,NA,NA,7,1,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,22,0,0.98,12,4.09,0,4.09,NA,5,NA,3,3,24,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Rafael Pereira,51194,22,1.2,0.92,7,4.03,0.19,3.8400000000000003,NA,2,NA,NA,2,7,3,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Everton Ribeiro,51772,22,6.4,4.26,18,13.07,0.32,12.75,5,15,6,11,36,53,25,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,22,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Ralf,52190,22,12.4,4.74,13,12.1,1.23,10.87,NA,14,1,1,24,18,34,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,2019
354,Ceará,7,Provável,3,zag,Tiago Alves,51495,22,-0.9,1.71,13,5.32,-0.97,6.29,NA,11,NA,2,2,23,8,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,3,zag,Rodrigo Moledo,63354,22,0,4.46,9,6.3,0,6.3,NA,3,2,1,2,5,12,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,22,0,3.56,7,6.23,0,6.23,NA,7,4,3,2,6,11,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,22,0,1.7,16,4.05,0,4.05,1,18,NA,1,12,36,16,5,2,NA,NA,NA,NA,NA,2,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,22,-0.6,4.78,16,14.38,-0.6,14.98,NA,12,4,6,16,39,23,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,22,0,-0.5,2,3.15,0,3.15,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Uendel,60852,22,0.8,3.68,9,3.37,0.28,3.09,NA,11,2,4,3,25,17,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,22,0,3.32,9,6.56,0,6.56,NA,NA,NA,NA,NA,7,NA,1,1,NA,NA,17,11,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,22,0,1.9,9,3.03,0,3.03,NA,10,NA,NA,1,10,13,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Elias,54395,22,4.4,1.84,17,9.21,0.04,9.170000000000002,1,22,4,4,13,51,24,NA,2,1,NA,NA,NA,1,1,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Rodriguinho,61033,22,0,2.48,5,5.52,0,5.52,NA,3,1,3,7,9,4,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Patric,60969,22,1.5,1.84,12,4,0.37,3.63,1,22,3,7,3,32,12,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,22,4,7.11,18,16.71,0.12,16.59,3,19,6,14,12,22,13,NA,NA,11,6,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,4,mei,D'Alessandro,62023,22,0,1.25,9,6.49,0,6.49,1,NA,5,4,6,33,1,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,2019
265,Bahia,6,Nulo,5,ata,Lucca,61149,22,1.5,2.27,10,5.5,0.18,5.32,NA,12,8,6,18,14,8,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Alan Santos,70132,22,0,0.6,2,2.74,0,2.74,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,22,1.1,2.36,14,6.24,0.51,5.73,3,21,7,11,14,36,14,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,22,0,-0.73,7,1.97,0,1.97,NA,9,NA,NA,9,7,4,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,22,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandão,62033,22,0.3,1.77,20,6.14,0.05,6.09,NA,6,6,14,12,9,5,NA,NA,2,4,NA,NA,NA,1,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Jean,62047,22,0,-0.53,3,3.72,0,3.72,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Pará,62086,22,0,1.69,8,4.4,0,4.4,NA,7,NA,NA,5,10,9,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,Vanderlei,62121,22,0,7.97,6,22.89,0,22.89,NA,NA,NA,NA,2,4,NA,3,NA,NA,NA,15,6,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Wellington,62129,22,-1.6,-1.32,16,0.78,0.01,0.77,NA,28,1,2,4,33,8,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,4,mei,Robinho,62104,22,-0.5,0.7,16,5.65,-0.27,5.92,1,24,3,12,16,73,14,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Walter,62128,22,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Maicon,62968,22,0,2.37,6,5.77,0,5.77,2,6,1,1,4,6,5,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Ganso,62977,22,0.5,2.31,16,7.79,-0.58,8.37,NA,17,7,12,19,50,18,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,3,Suspenso,1,gol,Rodolfo,63082,22,0,-0.67,6,2.22,0,2.22,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,7,12,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Werley,62974,22,0.5,-0.82,6,0.78,0.03,0.75,NA,5,3,NA,1,5,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,2019
275,Palmeiras,7,Provável,2,lat,Marcos Rocha,63013,22,0.8,5.8,14,15.5,-1.12,16.62,1,25,NA,3,17,51,43,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Paulão,63172,22,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Alan Ruschel,63110,22,15.7,2.19,8,6.91,3.16,3.75,NA,19,2,1,15,9,6,2,4,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,4,mei,Didira,63178,22,0,1.39,13,5.3,0,5.3,NA,14,2,3,14,21,17,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,2,Dúvida,3,zag,Douglas,63128,22,1.3,0.32,12,2.49,0.29,2.2,NA,16,NA,5,3,9,6,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,2,lat,Carlinhos,63194,22,4.5,3.05,17,6.69,0.7,5.99,2,33,3,7,13,38,33,2,4,1,1,NA,NA,NA,1,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Luan,63219,22,8.4,3.8,13,8.77,1.04,7.7299999999999995,1,18,3,11,28,40,26,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2019
285,Internacional,7,Provável,4,mei,Edenílson,63289,22,1.4,3.64,15,8.72,-0.85,9.57,1,16,4,1,16,35,15,NA,4,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Fellipe Bastos,70116,22,0,2.92,8,4.79,0,4.79,NA,7,1,9,3,7,10,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,André,68690,22,-0.6,2.48,12,7.87,-1.27,9.14,1,11,4,5,15,15,6,NA,2,2,3,NA,NA,1,NA,NA,1,NA,2019
276,São Paulo,6,Nulo,4,mei,Jucilei,63422,22,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Bergson,68696,22,0,1.36,12,4.41,0,4.41,NA,12,9,9,13,12,4,NA,1,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,Bruno Silva,68698,22,0,2.8,7,7.02,0,7.02,NA,14,2,2,12,18,19,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,4,mei,Camacho,68770,22,0,1.2,1,4.3,0,4.3,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Dodô,68727,22,0,2.95,12,6.02,0,6.02,NA,16,3,2,5,29,16,4,1,NA,1,NA,NA,1,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,1,gol,Sidão,70222,22,0,1.03,6,3.74,0,3.74,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,8,8,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,2,lat,Nino Paraíba,68808,22,13.9,6.12,17,15.02,1.72,13.299999999999999,3,21,5,5,22,40,25,9,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Henrique Almeida,68773,22,0,2.57,4,3.78,0,3.78,NA,2,2,4,4,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,2,Dúvida,3,zag,Paulo Miranda,68817,22,-1.5,2.26,8,4.02,-1.83,5.85,NA,10,1,NA,3,7,11,3,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2019
284,Grêmio,7,Provável,2,lat,Rafael Galhardo,68821,22,0,5.9,9,4.68,0,4.68,2,3,3,2,4,17,10,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,1,gol,Marcelo Lomba,68872,22,1.5,4.24,19,10.88,0.75,10.13,NA,NA,NA,NA,6,2,NA,7,NA,NA,NA,27,19,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Paulo Victor,68873,22,0,4.19,14,5.91,0,5.91,NA,NA,NA,NA,1,9,NA,6,1,NA,NA,19,12,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,5,ata,Wellington Silva,68895,22,1.5,2.97,12,5.72,-0.39,6.109999999999999,1,3,4,7,21,21,8,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Gum,68887,22,0,1.92,19,6.62,0,6.62,NA,10,6,7,14,42,13,4,1,1,2,NA,NA,NA,1,NA,NA,1,2019
285,Internacional,6,Nulo,4,mei,Rithely,68834,22,0,3.18,8,5.28,0,5.28,1,14,1,2,6,13,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Ramon,68896,22,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,2,Dúvida,3,zag,Digão,68886,22,0,1.1,9,4.27,0,4.27,NA,12,NA,1,7,13,12,2,1,NA,1,NA,NA,NA,2,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Rodrigo Pimpão,68901,22,0,0.65,16,1.64,0,1.64,2,19,5,8,5,35,11,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,2,Dúvida,3,zag,Réver,52253,22,10.1,4.46,16,12.92,1.24,11.68,1,3,4,5,10,22,28,3,1,NA,1,NA,NA,2,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,5,ata,Diego Souza,68911,22,0.9,2.9,20,6.16,0.09,6.07,1,21,8,9,30,38,4,NA,1,5,8,NA,NA,1,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Dudu,68920,22,3.9,6.38,15,18.63,-0.98,19.61,2,13,12,17,63,44,8,NA,2,5,4,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,2,Dúvida,3,zag,Leonardo Silva,68925,22,0,0.79,8,3.54,0,3.54,NA,8,1,NA,8,8,7,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,22,9.5,3.8,12,11.33,1.33,10,NA,4,NA,5,1,5,15,5,2,NA,4,NA,NA,1,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Kieza,68930,22,0,0.88,11,3.37,0,3.37,NA,9,4,5,13,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,22,0,2.73,3,3.99,0,3.99,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,5,6,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,3,zag,Luciano Castán,68942,22,0.6,2.3,19,5.63,0.2,5.43,NA,14,NA,1,4,34,20,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Neto,69008,22,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Giovanni Augusto,68938,22,0,1.76,12,4.32,0,4.32,1,16,6,8,15,37,14,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,João Vitor,68987,22,3.4,2.24,9,5.61,-0.5,6.11,NA,19,NA,NA,5,16,27,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,3,zag,Ronaldo Alves,68950,22,1.2,-0.27,3,4.13,0.23,3.9,NA,7,NA,2,2,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,4,mei,Marquinhos Gabriel,68954,22,1.5,1.27,15,3.78,-0.7,4.4799999999999995,NA,8,4,4,11,18,13,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,João Carlos,69010,22,0,-0.65,2,1.19,0,1.19,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,1,2,NA,1,NA,NA,NA,2019
277,Santos,2,Dúvida,5,ata,Marinho,68952,22,0,3.24,15,6,0,6,1,25,11,10,35,24,15,NA,5,2,4,NA,NA,1,1,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Manoel,69014,22,5.9,4.38,17,11.69,0.76,10.93,NA,16,2,5,7,21,22,9,1,1,NA,NA,NA,NA,NA,NA,NA,1,2019
293,Athlético-PR,7,Provável,1,gol,Santos,69012,22,-2,4.06,16,6.9,-0.52,7.42,NA,1,NA,NA,4,15,NA,6,1,NA,NA,21,15,NA,NA,1,NA,NA,2019
293,Athlético-PR,7,Provável,5,ata,Marcelo Cirino,69022,22,2.4,4.5,17,8.3,-1.07,9.370000000000001,2,11,7,12,14,23,9,NA,NA,5,5,NA,NA,1,NA,NA,NA,NA,2019
277,Santos,7,Provável,5,ata,Eduardo Sasha,70360,22,8.4,6.22,21,18.58,1.48,17.099999999999998,1,14,11,15,16,38,24,NA,1,9,3,NA,NA,2,NA,NA,NA,NA,2019
314,Avaí,7,Provável,1,gol,Vladimir,69040,22,0,3.97,20,5.28,0,5.28,NA,NA,NA,NA,2,2,NA,6,2,NA,NA,35,26,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Danilo Fernandes,69051,22,0,8.23,3,7.35,0,7.35,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,8,2,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,1,gol,Muriel,69041,22,4.5,4,10,5.65,-0.45,6.1000000000000005,NA,1,NA,NA,2,5,NA,2,1,NA,NA,19,12,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Paulo Roberto,69047,22,0,0.68,4,3.66,0,3.66,NA,5,NA,1,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Pablo,69138,22,-2.5,4.06,5,12.46,-0.28,12.74,NA,10,1,7,5,5,2,NA,1,2,5,NA,NA,1,NA,NA,NA,NA,2019
341,CSA,7,Provável,5,ata,Ricardo Bueno,69141,22,0.7,3.23,15,14.15,-1.58,15.73,2,22,5,7,15,17,11,NA,2,4,10,NA,NA,NA,NA,NA,1,NA,2019
264,Corinthians,6,Nulo,5,ata,Boselli,69161,22,1.8,2.73,10,4.02,0.33,3.6899999999999995,2,5,4,4,6,14,1,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,2,lat,Léo,69177,22,-0.5,2.96,9,4.91,-0.9,5.8100000000000005,1,17,NA,4,18,17,14,3,4,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
293,Athlético-PR,7,Provável,4,mei,Nikão,69705,22,9.8,5.05,13,16.98,-0.46,17.44,2,10,10,12,10,20,7,NA,2,4,3,NA,NA,1,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Gamarra,69288,22,0,0.2,2,5.34,0,5.34,NA,2,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Romulo,70009,22,0.9,1.56,9,4.58,-0.16,4.74,NA,18,2,3,9,16,11,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,6,tec,Fábio Carille,70696,22,5.65,4.35,20,12.07,0.34,11.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Diogo Barbosa,70916,22,3.1,5.91,14,13.77,-0.46,14.23,1,20,2,3,13,20,41,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,6,tec,Jorge Sampaoli,70800,22,6.18,4.57,22,13.16,0.91,12.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Wescley,70925,22,0,0.27,11,3.48,0.07,3.41,NA,8,2,NA,6,13,6,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Jackson,70934,22,2.7,1.62,8,4.75,0.06,4.69,NA,7,1,2,7,16,5,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Bruno Henrique,70944,22,4.5,3.37,15,11.3,-2.13,13.43,1,30,1,5,19,32,17,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Marllon,70666,22,0,5.05,2,5.51,0,5.51,NA,1,NA,1,7,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,5,ata,Joao Rojas,70784,22,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Augusto,71042,22,4.4,2.38,12,4.74,0.18,4.5600000000000005,2,25,9,3,15,20,12,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Bryan Ruíz,71019,22,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
