clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,FT,CV,SG,DD,DP,GS,GC,ano
282,Atlético-MG,6,Nulo,1,gol,Fernando,97543,27,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Rafael Santos,97907,27,0,1.65,2,0.9,0,0.9,NA,1,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rafael,97902,27,0,-1.2,1,0.73,0,0.73,NA,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Léo Pereira,83528,27,0.9,1.55,21,7.72,0.24,7.4799999999999995,NA,5,26,3,5,11,1,2,49,NA,17,NA,NA,5,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Dawhan,97780,27,1.7,1.31,22,6.06,0.5,5.56,NA,4,22,1,7,10,NA,NA,25,NA,29,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Rafinha,83681,27,0,1.87,3,3.19,0,3.19,NA,NA,2,NA,NA,3,NA,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,2,Dúvida,5,ata,Clayson,83817,27,-0.5,2.57,22,9.46,-0.48,9.940000000000001,2,4,28,8,7,33,3,2,44,NA,16,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Caíque França,91808,27,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Varela,97993,27,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Kevin ,91888,27,-2,0.68,4,5.05,-0.99,6.04,NA,2,1,NA,1,2,NA,NA,13,NA,5,NA,NA,1,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Erick,98022,27,0,1.56,8,2.98,0,2.98,NA,1,15,4,1,3,1,NA,12,NA,7,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Fessin,97994,27,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Neilton,83772,27,0,2.54,10,6,0,6,NA,NA,7,2,7,19,1,2,20,NA,7,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,5,Contundido,3,zag,David Duarte,91772,27,0,2.92,7,8.03,0,8.03,NA,NA,2,NA,3,3,NA,NA,10,NA,7,NA,NA,2,NA,NA,NA,NA,2019
354,Ceará,5,Contundido,5,ata,João Paulo,91972,27,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Dalberto,97995,27,0,0,1,2.34,0,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Giovanny ,92085,27,0,-1.6,1,1.24,0,1.24,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,6,tec,Tiago Nunes,98057,27,2.88,3.61,26,10.31,-0.11,10.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
