clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,value,ano
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,26,0,3.56,7,6.23,0,6.23,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,26,0,5.13,22,8.75,0.78,7.97,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,26,0,0.16,8,2.88,0,2.88,NA,2019
275,Palmeiras,6,Nulo,1,gol,Fernando Prass,38140,26,0,5,1,7.07,0,7.07,NA,2019
262,Flamengo,6,Nulo,4,mei,Diego,38909,26,0,1.53,9,5.52,0,5.52,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,26,0,6.31,7,6.35,-0.96,7.31,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,26,0,3.86,13,9.54,-0.69,10.229999999999999,NA,2019
314,Avaí,6,Nulo,3,zag,Marquinhos Silva,38515,26,0,2.08,11,6.34,0,6.34,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,26,0,4.78,22,7.73,-2.38,10.11,NA,2019
262,Flamengo,5,Contundido,2,lat,Rafinha,38144,26,0,4.5,14,10.1,0,10.1,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,26,0,2.59,10,6.35,1.44,4.91,NA,2019
275,Palmeiras,7,Provável,4,mei,Felipe Melo,38545,26,0,2.45,14,7.58,1.65,5.93,NA,2019
314,Avaí,6,Nulo,4,mei,Douglas,38738,26,0,-0.13,10,4.3,0,4.3,NA,2019
276,São Paulo,2,Dúvida,4,mei,Hernanes,38648,26,0,4.12,19,13.27,-0.49,13.76,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato,39572,26,0,2.07,7,4.84,0.22,4.62,NA,2019
264,Corinthians,6,Nulo,5,ata,Vagner Love,38959,26,0,2.71,20,5.39,-0.06,5.449999999999999,NA,2019
262,Flamengo,6,Nulo,2,lat,Filipe Luís,38750,26,0,6.19,9,14.02,0,14.02,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,26,0,3,17,13.14,0.32,12.82,NA,2019
283,Cruzeiro,7,Provável,6,tec,Abel Braga,40006,26,0,3.52,11,9.87,0.16,9.709999999999999,NA,2019
266,Fluminense,7,Provável,4,mei,Nenê,38913,26,0,3.42,15,6.68,-0.82,7.5,NA,2019
282,Atlético-MG,7,Provável,6,tec,Vagner Mancini,39850,26,0,3.72,1,6.91,-1.09,8,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,26,0,5.39,9,15,-1.24,16.24,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,26,0,3.06,21,8.51,0.19,8.32,NA,2019
354,Ceará,7,Provável,6,tec,Adilson Batista,41258,26,0,3.52,4,9.88,-0.63,10.510000000000002,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,26,0,4.55,26,12.44,-0.51,12.95,NA,2019
315,Chapecoense,6,Nulo,3,zag,Maurício Ramos,42477,26,0,1.98,10,4.31,-0.11,4.42,NA,2019
283,Cruzeiro,7,Provável,2,lat,Egídio,42145,26,0,4.61,17,10.72,1.07,9.65,NA,2019
264,Corinthians,3,Suspenso,1,gol,Cássio,42234,26,0,3.23,21,6.97,-0.65,7.62,NA,2019
315,Chapecoense,6,Nulo,4,mei,Amaral,42232,26,0,1.27,7,2.84,-0.09,2.9299999999999997,NA,2019
275,Palmeiras,7,Provável,5,ata,Willian,42116,26,0,3.15,12,8.19,1.2,6.989999999999999,NA,2019
293,Athlético-PR,7,Provável,2,lat,Márcio Azevedo,42491,26,0,2.44,18,4.82,-0.85,5.67,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,26,0,2.77,7,4.62,0,4.62,NA,2019
356,Fortaleza,7,Provável,5,ata,Osvaldo,42222,26,0,1.88,22,5.03,0.22,4.8100000000000005,NA,2019
264,Corinthians,7,Provável,2,lat,Fagner,42500,26,0,5.19,19,12.55,-0.29,12.84,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Wilson,50284,26,0,1.97,3,4.21,0,4.21,NA,2019
276,São Paulo,5,Contundido,4,mei,Everton,50301,26,0,1.68,16,7.34,0,7.34,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,26,0,0,0,1,0,1,NA,2019
265,Bahia,6,Nulo,3,zag,Ernando,49651,26,0,4.64,8,10.78,0,10.78,NA,2019
315,Chapecoense,7,Provável,4,mei,Elicarlos,50313,26,0,0.78,13,4.17,-0.19,4.36,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,26,0,2.12,5,4.62,0,4.62,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,26,0,-0.66,5,2.63,0,2.63,NA,2019
275,Palmeiras,5,Contundido,4,mei,Ramires,50293,26,0,1.17,3,6.79,0,6.79,NA,2019
276,São Paulo,7,Provável,5,ata,Alexandre Pato,49675,26,0,4.45,16,8.4,-1.01,9.41,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,26,0,2.28,14,9.05,0,9.05,NA,2019
