clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,FF,FS,I,PE,RB,CA,FD,G,GC,A,SG,FT,DD,GS,PP,CV,DP,ano
264,Corinthians,6,Nulo,2,lat,Danilo Avelar,72142,6,5.6,6.23,3,7.47,0.55,6.92,3,1,5,NA,6,3,1,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Augusto,71042,6,0,2.43,3,4,0,4,5,1,3,NA,3,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Douglas,63128,6,0.7,-0.24,5,2.53,0.08,2.4499999999999997,7,1,1,NA,5,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,3,zag,Gum,68887,6,1.2,3.05,6,7.14,0.08,7.06,NA,3,2,1,11,3,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,2,lat,Alan Ruschel,63110,6,0,0.98,4,5.57,0,5.57,13,NA,10,NA,6,2,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Neto,69008,6,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,2,lat,Roberto,71116,6,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Gustavo Campanharo,72497,6,3,2.33,4,3.73,0.09,3.64,4,2,2,NA,5,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Rildo,73635,6,11.9,8.93,3,9.13,1.19,7.940000000000001,2,5,7,NA,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,5,ata,Everaldo,78117,6,1.9,6.7,6,16.38,-0.56,16.939999999999998,13,9,6,NA,9,2,NA,6,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Marcos Vinícius,73721,6,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Joílson,80779,6,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Thiago Santos,93151,6,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Lourency,94249,6,0,2.4,1,2.84,0,2.84,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Perotti,94286,6,0,0.5,1,1.66,0,1.66,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Aylon,85930,6,5,1.53,3,3.15,0.81,2.34,NA,NA,2,NA,2,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Bruno Pacheco,90061,6,-2.1,5.03,6,13.73,-0.85,14.58,9,1,11,NA,12,14,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Victor Andrade,80536,6,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,3,Suspenso,4,mei,Moisés Ribeiro,78991,6,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,4,mei,Yann Rolim,102892,6,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Diego Torres,98794,6,11,4.8,3,5.93,2.15,3.78,NA,2,3,NA,8,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Kendy,98421,6,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,1,gol,Tiepo,98412,6,0.4,5.25,6,14.85,0.25,14.6,NA,NA,2,NA,5,NA,NA,NA,NA,NA,NA,1,NA,12,8,NA,NA,1,2019
315,Chapecoense,6,Nulo,4,mei,Orzusa,99160,6,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Bruno Silva,101422,6,0,-0.3,1,2.8,0,2.8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Tharlis,102997,6,0,2.9,1,3.43,0,3.43,2,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Manoel,69014,6,7,5.84,5,11.77,0.88,10.889999999999999,3,2,NA,NA,8,9,1,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Hiago,97535,6,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Régis,102999,6,0,2.04,5,4.34,0,4.34,4,3,2,1,7,6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
