clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,28,1,2019
263,Botafogo,28,13,2019
264,Corinthians,28,5,2019
265,Bahia,28,8,2019
266,Fluminense,28,16,2019
267,Vasco,28,11,2019
275,Palmeiras,28,2,2019
276,São Paulo,28,4,2019
277,Santos,28,3,2019
282,Atlético-MG,28,12,2019
283,Cruzeiro,28,17,2019
284,Grêmio,28,7,2019
285,Internacional,28,6,2019
290,Goiás,28,10,2019
293,Athlético-PR,28,9,2019
314,Avaí,28,20,2019
315,Chapecoense,28,19,2019
341,CSA,28,18,2019
354,Ceará,28,15,2019
356,Fortaleza,28,14,2019
