clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,17,1,2019
263,Botafogo,17,10,2019
264,Corinthians,17,3,2019
265,Bahia,17,8,2019
266,Fluminense,17,18,2019
267,Vasco,17,15,2019
275,Palmeiras,17,5,2019
276,São Paulo,17,4,2019
277,Santos,17,2,2019
282,Atlético-MG,17,7,2019
283,Cruzeiro,17,16,2019
284,Grêmio,17,11,2019
285,Internacional,17,6,2019
290,Goiás,17,13,2019
293,Athlético-PR,17,9,2019
314,Avaí,17,20,2019
315,Chapecoense,17,17,2019
341,CSA,17,19,2019
354,Ceará,17,14,2019
356,Fortaleza,17,12,2019
