clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,36,1,2019
263,Botafogo,36,13,2019
264,Corinthians,36,7,2019
265,Bahia,36,10,2019
266,Fluminense,36,15,2019
267,Vasco,36,11,2019
275,Palmeiras,36,3,2019
276,São Paulo,36,6,2019
277,Santos,36,2,2019
282,Atlético-MG,36,14,2019
283,Cruzeiro,36,17,2019
284,Grêmio,36,4,2019
285,Internacional,36,8,2019
290,Goiás,36,9,2019
293,Athlético-PR,36,5,2019
314,Avaí,36,20,2019
315,Chapecoense,36,19,2019
341,CSA,36,18,2019
354,Ceará,36,16,2019
356,Fortaleza,36,12,2019
