clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,33,1,2019
263,Botafogo,33,17,2019
264,Corinthians,33,8,2019
265,Bahia,33,9,2019
266,Fluminense,33,16,2019
267,Vasco,33,11,2019
275,Palmeiras,33,2,2019
276,São Paulo,33,5,2019
277,Santos,33,3,2019
282,Atlético-MG,33,12,2019
283,Cruzeiro,33,15,2019
284,Grêmio,33,4,2019
285,Internacional,33,7,2019
290,Goiás,33,10,2019
293,Athlético-PR,33,6,2019
314,Avaí,33,20,2019
315,Chapecoense,33,19,2019
341,CSA,33,18,2019
354,Ceará,33,14,2019
356,Fortaleza,33,13,2019
