clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,22,1,2019
263,Botafogo,22,12,2019
264,Corinthians,22,4,2019
265,Bahia,22,6,2019
266,Fluminense,22,16,2019
267,Vasco,22,13,2019
275,Palmeiras,22,2,2019
276,São Paulo,22,7,2019
277,Santos,22,3,2019
282,Atlético-MG,22,10,2019
283,Cruzeiro,22,17,2019
284,Grêmio,22,8,2019
285,Internacional,22,5,2019
290,Goiás,22,11,2019
293,Athlético-PR,22,9,2019
314,Avaí,22,19,2019
315,Chapecoense,22,20,2019
341,CSA,22,18,2019
354,Ceará,22,15,2019
356,Fortaleza,22,14,2019
