clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,24,1,2019
263,Botafogo,24,12,2019
264,Corinthians,24,4,2019
265,Bahia,24,8,2019
266,Fluminense,24,15,2019
267,Vasco,24,14,2019
275,Palmeiras,24,3,2019
276,São Paulo,24,5,2019
277,Santos,24,2,2019
282,Atlético-MG,24,11,2019
283,Cruzeiro,24,18,2019
284,Grêmio,24,7,2019
285,Internacional,24,6,2019
290,Goiás,24,10,2019
293,Athlético-PR,24,9,2019
314,Avaí,24,19,2019
315,Chapecoense,24,20,2019
341,CSA,24,16,2019
354,Ceará,24,17,2019
356,Fortaleza,24,13,2019
