clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,13,3,2019
263,Botafogo,13,9,2019
264,Corinthians,13,7,2019
265,Bahia,13,10,2019
266,Fluminense,13,16,2019
267,Vasco,13,15,2019
275,Palmeiras,13,2,2019
276,São Paulo,13,5,2019
277,Santos,13,1,2019
282,Atlético-MG,13,4,2019
283,Cruzeiro,13,18,2019
284,Grêmio,13,13,2019
285,Internacional,13,6,2019
290,Goiás,13,12,2019
293,Athlético-PR,13,8,2019
314,Avaí,13,20,2019
315,Chapecoense,13,17,2019
341,CSA,13,19,2019
354,Ceará,13,11,2019
356,Fortaleza,13,14,2019
