clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,26,1,2019
263,Botafogo,26,13,2019
264,Corinthians,26,4,2019
265,Bahia,26,8,2019
266,Fluminense,26,14,2019
267,Vasco,26,11,2019
275,Palmeiras,26,2,2019
276,São Paulo,26,5,2019
277,Santos,26,3,2019
282,Atlético-MG,26,12,2019
283,Cruzeiro,26,18,2019
284,Grêmio,26,7,2019
285,Internacional,26,6,2019
290,Goiás,26,10,2019
293,Athlético-PR,26,9,2019
314,Avaí,26,19,2019
315,Chapecoense,26,20,2019
341,CSA,26,17,2019
354,Ceará,26,16,2019
356,Fortaleza,26,15,2019
