clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,10,3,2019
263,Botafogo,10,6,2019
264,Corinthians,10,8,2019
265,Bahia,10,11,2019
266,Fluminense,10,15,2019
267,Vasco,10,16,2019
275,Palmeiras,10,1,2019
276,São Paulo,10,9,2019
277,Santos,10,2,2019
282,Atlético-MG,10,4,2019
283,Cruzeiro,10,17,2019
284,Grêmio,10,10,2019
285,Internacional,10,5,2019
290,Goiás,10,7,2019
293,Athlético-PR,10,12,2019
314,Avaí,10,20,2019
315,Chapecoense,10,18,2019
341,CSA,10,19,2019
354,Ceará,10,14,2019
356,Fortaleza,10,13,2019
