clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,35,1,2019
263,Botafogo,35,13,2019
264,Corinthians,35,7,2019
265,Bahia,35,10,2019
266,Fluminense,35,15,2019
267,Vasco,35,11,2019
275,Palmeiras,35,3,2019
276,São Paulo,35,6,2019
277,Santos,35,2,2019
282,Atlético-MG,35,14,2019
283,Cruzeiro,35,17,2019
284,Grêmio,35,4,2019
285,Internacional,35,8,2019
290,Goiás,35,9,2019
293,Athlético-PR,35,5,2019
314,Avaí,35,20,2019
315,Chapecoense,35,19,2019
341,CSA,35,18,2019
354,Ceará,35,16,2019
356,Fortaleza,35,12,2019
