clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,38,1,2019
263,Botafogo,38,15,2019
264,Corinthians,38,8,2019
265,Bahia,38,11,2019
266,Fluminense,38,14,2019
267,Vasco,38,12,2019
275,Palmeiras,38,3,2019
276,São Paulo,38,6,2019
277,Santos,38,2,2019
282,Atlético-MG,38,13,2019
283,Cruzeiro,38,17,2019
284,Grêmio,38,4,2019
285,Internacional,38,7,2019
290,Goiás,38,10,2019
293,Athlético-PR,38,5,2019
314,Avaí,38,20,2019
315,Chapecoense,38,19,2019
341,CSA,38,18,2019
354,Ceará,38,16,2019
356,Fortaleza,38,9,2019
