clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,11,3,2019
263,Botafogo,11,7,2019
264,Corinthians,11,9,2019
265,Bahia,11,11,2019
266,Fluminense,11,17,2019
267,Vasco,11,15,2019
275,Palmeiras,11,1,2019
276,São Paulo,11,12,2019
277,Santos,11,2,2019
282,Atlético-MG,11,4,2019
283,Cruzeiro,11,16,2019
284,Grêmio,11,10,2019
285,Internacional,11,5,2019
290,Goiás,11,8,2019
293,Athlético-PR,11,6,2019
314,Avaí,11,20,2019
315,Chapecoense,11,18,2019
341,CSA,11,19,2019
354,Ceará,11,13,2019
356,Fortaleza,11,14,2019
