clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,27,1,2019
263,Botafogo,27,13,2019
264,Corinthians,27,5,2019
265,Bahia,27,8,2019
266,Fluminense,27,16,2019
267,Vasco,27,11,2019
275,Palmeiras,27,2,2019
276,São Paulo,27,4,2019
277,Santos,27,3,2019
282,Atlético-MG,27,12,2019
283,Cruzeiro,27,17,2019
284,Grêmio,27,7,2019
285,Internacional,27,6,2019
290,Goiás,27,10,2019
293,Athlético-PR,27,9,2019
314,Avaí,27,20,2019
315,Chapecoense,27,19,2019
341,CSA,27,18,2019
354,Ceará,27,15,2019
356,Fortaleza,27,14,2019
