atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
68873,Paulo Victor,37,2014,262,Flamengo,1,gol,29,10.1,4.81,10.100000000000001,9.88,0.22,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,NA,NA
78086,César,37,2014,262,Flamengo,1,gol,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
89258,Daniel,37,2014,262,Flamengo,1,gol,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37701,Léo Moura,37,2014,262,Flamengo,2,lat,33,1.7,2.82,10.35,10.09,0.26,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,NA,NA
50453,Anderson Pico,37,2014,262,Flamengo,2,lat,8,10,7.2,7.7,6.15,1.55,0,1,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0,NA,NA
69177,Léo,37,2014,262,Flamengo,2,lat,3,0,2.4,4.18,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
71602,João Paulo,37,2014,262,Flamengo,2,lat,27,5.4,3.47,7.29,6.47,0.82,2,6,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,NA
68958,Wallace,37,2014,262,Flamengo,3,zag,31,7.5,3.67,16.79,15.31,1.48,2,3,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,NA,NA
74103,Frauches ,37,2014,262,Flamengo,3,zag,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
78895,Marcelo,37,2014,262,Flamengo,3,zag,16,6.3,3.83,6.779999999999999,5.47,1.31,0,3,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,NA,NA
81223,Erazo,37,2014,262,Flamengo,3,zag,1,6.7,6.7,4.9,4.45,0.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA
38311,Márcio Araújo,37,2014,262,Flamengo,4,mei,32,-0.3,2.49,10.31,10.59,-0.28,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
50301,Everton,37,2014,262,Flamengo,4,mei,28,4.2,3.28,13.27,12.83,0.44,1,5,0,0,0,1,1,1,0,0,2,0,1,0,0,0,0,0,NA,NA
69268,Víctor Cáceres,37,2014,262,Flamengo,4,mei,20,3.9,2.1,8.67,8.1,0.57,0,2,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,NA,NA
