atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
37958,Felipe,3,2014,262,Flamengo,1,gol,3,-4,0.9,11.42,14.18,-2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA
68873,Paulo Victor,3,2014,262,Flamengo,1,gol,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
38184,André Santos,3,2014,262,Flamengo,2,lat,2,3.2,4.95,11.71,11.99,-0.28,2,2,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,NA,NA
71602,João Paulo,3,2014,262,Flamengo,2,lat,2,2.1,1.6,3.7,3.25,0.45,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
78647,Digão,3,2014,262,Flamengo,2,lat,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68958,Wallace,3,2014,262,Flamengo,3,zag,3,4.3,3.83,14.93,14.53,0.4,0,3,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,NA,NA
81223,Erazo,3,2014,262,Flamengo,3,zag,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
84318,Samir ,3,2014,262,Flamengo,3,zag,2,0.8,0.6,9.82,10.75,-0.93,0,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,NA,NA
38311,Márcio Araújo,3,2014,262,Flamengo,4,mei,3,15,7.97,18.37,13.9,4.47,1,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,NA,NA
69268,Víctor Cáceres,3,2014,262,Flamengo,4,mei,2,3.3,4.75,10.41,10.46,-0.05,2,1,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,NA,NA
72071,Amaral,3,2014,262,Flamengo,4,mei,1,0,-2.6,1.06,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
72768,Muralha,3,2014,262,Flamengo,4,mei,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
74060,Luiz Antonio ,3,2014,262,Flamengo,4,mei,3,-1.1,0.07,3.3,4.27,-0.97,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA
79023,Mattheus,3,2014,262,Flamengo,4,mei,1,0,-1,0.76,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
81121,Mugni,3,2014,262,Flamengo,4,mei,3,4.3,2.33,5.9799999999999995,4.93,1.05,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,NA,NA
37673,Alecsandro,3,2014,262,Flamengo,5,ata,3,25,8.53,21.78,12.97,8.81,3,3,1,0,3,1,2,2,0,1,2,0,0,0,0,0,0,0,NA,NA
70929,Negueba,3,2014,262,Flamengo,5,ata,1,-1.8,-1.8,1.4800000000000002,3.24,-1.76,2,5,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,NA,NA
78578,Paulinho,3,2014,262,Flamengo,5,ata,3,7.6,2.67,12.61,10.87,1.74,3,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,NA,NA
80337,Arthur ,3,2014,262,Flamengo,5,ata,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
80913,Nixon,3,2014,262,Flamengo,5,ata,2,5,2.4,5.99,4.48,1.51,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
79019,Jayme De Almeida,3,2014,262,Flamengo,6,tec,3,5.79,3.24,10.74,9.39,1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68872,Marcelo Lomba,3,2014,265,Bahia,1,gol,3,6,2.33,4.99,3.32,1.67,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,NA,NA
73517,Douglas Pires,3,2014,265,Bahia,1,gol,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
73359,Roniery,3,2014,265,Bahia,2,lat,2,7.8,6.65,9.209999999999999,7.02,2.19,3,2,0,0,0,0,0,0,0,2,3,0,0,0,1,0,0,0,NA,NA
80163,Railan,3,2014,265,Bahia,2,lat,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
84379,Raul,3,2014,265,Bahia,2,lat,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
87213,Pará,3,2014,265,Bahia,2,lat,3,12.6,6.67,12.96,8.92,4.04,1,1,1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,NA,NA
50353,Titi,3,2014,265,Bahia,3,zag,3,5.4,7.1,13.4,12.94,0.46,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA
68723,Demerson,3,2014,265,Bahia,3,zag,3,7.2,2.37,6.75,4.48,2.27,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA
80189,Lucas Fonseca,3,2014,265,Bahia,3,zag,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
38507,Rafael Miranda,3,2014,265,Bahia,4,mei,1,0,-0.6,2.58,2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
41364,Lincoln,3,2014,265,Bahia,4,mei,3,2.9,6.2,12.83,13.36,-0.53,5,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA
