atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
68873,Paulo Victor,26,2014,262,Flamengo,1,gol,18,-2,5.01,6.56,7.3,-0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA
78086,César,26,2014,262,Flamengo,1,gol,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37701,Léo Moura,26,2014,262,Flamengo,2,lat,24,2.4,2.83,10.43,10.16,0.27,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
50453,Anderson Pico,26,2014,262,Flamengo,2,lat,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
71602,João Paulo,26,2014,262,Flamengo,2,lat,19,8.8,3.65,7.66,6.69,0.97,2,1,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,NA,NA
37684,Chicão,26,2014,262,Flamengo,3,zag,12,1,2.18,8.16,8.55,-0.39,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA
78895,Marcelo,26,2014,262,Flamengo,3,zag,9,0,5.02,4.72,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
81223,Erazo,26,2014,262,Flamengo,3,zag,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
84318,Samir ,26,2014,262,Flamengo,3,zag,12,0,3.12,10.379999999999999,10.94,-0.56,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
38311,Márcio Araújo,26,2014,262,Flamengo,4,mei,23,-0.6,2.61,10.129999999999999,10.79,-0.66,4,2,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,NA,NA
