atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
36540,Juan,36,2017,262,Flamengo,3,zag,13,0,4.02,6.12,6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36612,Zé Roberto,36,2017,275,Palmeiras,2,lat,14,0,1.98,6.99,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36940,Oswaldo de Oliveira,36,2017,282,Atlético-MG,6,tec,11,7.55,4.56,11.319999999999999,12.04,0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37281,Mano Menezes,36,2017,283,Cruzeiro,6,tec,35,3.89,3.84,13.08,12.87,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37306,Gilson Kleina,36,2017,315,Chapecoense,6,tec,30,2.76,3.77,11.959999999999999,11.95,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37604,Paulo André,36,2017,293,Atlético-PR,3,zag,19,0,1.91,3.9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37607,Michel Bastos,36,2017,275,Palmeiras,4,mei,16,3.7,2.19,5.29,5.79,0.5,0,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,0,NA,NA
37608,Cristian,36,2017,284,Grêmio,4,mei,4,1.1,1.55,3.1199999999999997,3.32,0.2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
37623,Rafael Marques,36,2017,267,Vasco,3,zag,15,-0.8,1.02,2.5,1.88,-0.62,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
37644,Rodrigo,36,2017,303,Ponte Preta,3,zag,21,0,3.68,8.64,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37645,Marcelo Mattos,36,2017,267,Vasco,4,mei,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
