clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,CV,FC,FD,FF,FS,G,I,PE,RB,A,SG,PP,DD,DP,GS,FT,GC,ano
264,Corinthians,6,Nulo,1,gol,Walter,51413,32,10.4,7.22,6,8.36,1.08,7.279999999999999,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,2,NA,13,1,6,NA,NA,2019
341,CSA,7,Provável,2,lat,Apodi,51042,32,2.1,2.97,28,5.99,0.22,5.7700000000000005,4,NA,45,11,13,40,4,10,50,12,1,7,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,3,zag,Roger Carvalho,51415,32,0,0.98,12,4.09,0,4.09,NA,NA,5,NA,3,3,NA,NA,24,5,NA,2,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,32,2.2,0.88,16,4.09,0.39,3.6999999999999997,4,NA,5,1,NA,6,1,NA,21,9,NA,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,3,zag,Adalberto,51549,32,0,-2.8,1,1.72,0,1.72,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Diego,38909,32,0,1.27,11,4.65,-0.01,4.66,5,NA,10,6,8,16,NA,NA,27,9,NA,NA,1,NA,NA,NA,2,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Ricardo Oliveira,38910,32,0,2.63,20,12.31,-0.32,12.63,NA,NA,15,9,14,17,2,2,11,6,2,NA,1,NA,NA,NA,1,NA,2019
276,São Paulo,7,Provável,2,lat,Daniel Alves,38939,32,1.2,5.08,14,15.18,0.63,14.549999999999999,4,NA,31,3,11,27,1,3,56,24,3,5,NA,NA,NA,NA,1,NA,2019
264,Corinthians,6,Nulo,5,ata,Vagner Love,38959,32,0.8,2.28,23,5.22,0.11,5.109999999999999,4,NA,29,5,9,33,5,8,33,13,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Nenê,38913,32,0.5,2.56,21,6.22,0.59,5.63,1,1,19,5,18,32,3,2,72,15,2,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato,39572,32,2,2.11,12,5.08,-0.39,5.47,2,NA,8,5,6,24,NA,NA,10,9,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,32,0.7,5.26,27,8.46,-1.11,9.57,NA,NA,NA,NA,NA,3,NA,NA,15,2,NA,12,NA,36,2,20,NA,NA,2019
354,Ceará,7,Provável,6,tec,Adilson Batista,41258,32,0.47,3.67,10,10.3,-1.01,11.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Abel Braga,40006,32,4.44,3.69,17,10.15,-0.09,10.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,6,tec,Vagner Mancini,39850,32,3.7,3.71,7,7.26,-0.61,7.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Ralf,52190,32,0,4.82,20,11.01,0,11.01,1,NA,21,2,2,31,1,NA,24,57,NA,NA,NA,NA,NA,NA,1,NA,2019
341,CSA,7,Provável,2,lat,Carlinhos,38451,32,-0.6,4.35,25,7.52,0.07,7.449999999999999,2,NA,18,6,11,24,2,2,59,41,NA,8,NA,NA,NA,NA,NA,1,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,32,0,3.07,18,8.45,0,8.45,9,1,16,2,4,15,2,2,23,20,1,6,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,6,tec,Renato Gaúcho,41929,32,4.81,4.64,32,13.13,0.43,12.700000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,6,tec,Vanderlei Luxemburgo,41327,32,5.64,3.1,27,8.95,0.99,7.959999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Marquinhos Silva,38515,32,0,1.8,13,5.43,0,5.43,2,NA,15,NA,9,7,NA,1,24,16,NA,1,NA,NA,NA,NA,1,NA,2019
356,Fortaleza,3,Suspenso,5,ata,Osvaldo,42222,32,6.4,2.63,27,6.6,0.49,6.109999999999999,3,1,23,7,16,16,3,NA,34,13,5,NA,NA,NA,NA,NA,2,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,32,0,2.69,12,6.12,0,6.12,2,2,16,NA,5,10,NA,NA,26,18,NA,4,NA,NA,NA,NA,2,NA,2019
275,Palmeiras,2,Dúvida,4,mei,Felipe Melo,38545,32,0,2.74,18,7.04,0,7.04,7,1,32,4,14,26,3,1,41,26,1,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Amaral,42232,32,0.8,1.07,10,2.87,-0.02,2.89,1,NA,9,NA,3,2,NA,NA,4,10,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,2,lat,Dodô,68727,32,7.1,3.56,16,7.01,-0.45,7.46,2,NA,22,4,2,5,NA,1,35,24,NA,7,NA,NA,NA,NA,1,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,32,0,0.28,9,2.71,0,2.71,3,NA,10,NA,2,7,NA,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,2,lat,Egídio,42145,32,0,4.38,21,10.34,0,10.34,1,NA,25,8,7,19,NA,1,61,37,1,8,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,3,zag,Matheus Ferraz,38632,32,0,3.56,7,6.23,0,6.23,1,NA,7,4,3,2,1,1,6,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,4,mei,Douglas,38738,32,0,0.27,12,5.08,0,5.08,1,NA,3,1,6,8,NA,2,34,2,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Willian,42116,32,-0.8,2.8,16,7.38,-0.36,7.74,1,1,11,7,5,14,4,3,22,4,1,NA,NA,NA,NA,NA,1,NA,2019
264,Corinthians,7,Provável,1,gol,Cássio,42234,32,0,3.02,24,7.34,0,7.34,6,NA,1,NA,NA,5,NA,NA,12,NA,NA,10,NA,25,1,23,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hernanes,38648,32,0,3.34,25,12.79,-0.35,13.139999999999999,4,NA,23,13,15,24,2,1,26,24,4,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,2,Dúvida,2,lat,Filipe Luís,38750,32,5.7,5.88,13,13.55,0.5,13.05,NA,NA,21,1,NA,10,NA,NA,31,40,NA,6,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Maurício Ramos,42477,32,0,1.92,12,4.98,0,4.98,1,NA,15,2,1,9,NA,NA,14,6,NA,4,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Fagner,42500,32,0,4.89,22,12.65,0,12.65,5,NA,19,5,4,33,1,NA,73,40,2,9,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Alexandre Pato,49675,32,0,3.81,20,8.27,0,8.27,2,NA,19,13,20,29,5,13,37,14,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Márcio Azevedo,42491,32,4.4,2.59,23,6.13,0.12,6.01,5,NA,32,1,4,23,NA,3,48,17,3,9,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,32,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,32,0,2.12,5,4.62,0,4.62,NA,NA,4,1,1,NA,NA,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Bruno,42499,32,0,2.35,8,4.24,0,4.24,1,1,7,NA,1,5,NA,NA,15,7,NA,4,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Wilson,50284,32,0,1.97,3,4.21,0,4.21,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,8,NA,9,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,32,0.5,-0.17,7,2.7,-0.17,2.87,2,NA,4,NA,3,3,NA,NA,7,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
