atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
36886,Geninho,8,2019,314,Avaí,6,tec,8,4.77,2.99,5.93,6.41,0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37246,Ney Franco,8,2019,315,Chapecoense,6,tec,8,0.41,3.34,8.64,8.24,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37281,Mano Menezes,8,2019,283,Cruzeiro,6,tec,8,4.95,3.52,9.23,9.84,0.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37333,Marcelo Cabo,8,2019,341,CSA,6,tec,8,3.28,2.86,4.71,5.33,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37604,Paulo André,8,2019,293,Athlético-PR,3,zag,4,1.7,0.72,3.8000000000000003,3.91,0.11,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,Provável
37646,Betão,8,2019,314,Avaí,3,zag,7,2.1,2.19,4.11,3.52,-0.59,1,3,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,7,Provável
37656,Fábio,8,2019,283,Cruzeiro,1,gol,7,10.7,4.25,9.64,11.65,2.01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,7,Provável
37657,Edu Dracena,8,2019,275,Palmeiras,3,zag,1,7.3,7.3,6,6.71,0.71,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,Provável
37662,Jonathan,8,2019,293,Athlético-PR,2,lat,2,0,0.8,4.71,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37688,Cícero,8,2019,263,Botafogo,4,mei,8,9.9,5.69,12.7,14.1,1.4,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,Provável
37694,Henrique,8,2019,283,Cruzeiro,4,mei,6,7.5,2.78,6.359999999999999,7.52,1.16,2,1,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,7,Provável
37701,Léo Moura,8,2019,284,Grêmio,2,lat,2,6.8,4.1,5.55,6.12,0.57,1,4,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,6,Nulo
37717,Fernando Henrique,8,2019,354,Ceará,1,gol,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37788,Marcelo Boeck,8,2019,356,Fortaleza,1,gol,1,-2,-2.3,4.07,3.31,-0.76,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,Nulo
37792,Edinho,8,2019,354,Ceará,4,mei,1,0,-3.4,1.89,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37798,Rafael Sobis,8,2019,285,Internacional,5,ata,5,2.4,1.1,5.4399999999999995,5.72,0.28,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,7,Provável
38001,Anderson,8,2019,265,Bahia,1,gol,1,0,-1,2.08,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38140,Fernando Prass,8,2019,275,Palmeiras,1,gol,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38162,Fred,8,2019,283,Cruzeiro,5,ata,7,0,0.77,5.34,5.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38196,Maicon,8,2019,284,Grêmio,4,mei,4,1.3,2.15,8.76,8.35,-0.41,1,4,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,7,Provável
38229,Fábio Santos,8,2019,282,Atlético-MG,2,lat,7,-1.6,3.43,12.61,9.99,-2.62,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,7,Provável
38231,Diego Tardelli,8,2019,284,Grêmio,5,ata,5,-1.2,1.78,8.53,8.11,-0.42,1,5,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,2,Dúvida
38277,Thiago Neves,8,2019,283,Cruzeiro,4,mei,7,1.9,5.57,8.96,8.21,-0.75,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,7,Provável
