clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,DD,FS,GS,PE,SG,FC,FD,FF,RB,DP,A,G,I,PP,CV,FT,GC,ano
275,Palmeiras,6,Nulo,4,mei,Ramires,50293,33,0,1.17,3,6.79,0,6.79,NA,NA,2,NA,1,NA,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rhodolfo,42501,33,5.7,2.72,6,4.77,0.15,4.619999999999999,NA,NA,NA,NA,4,3,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Wilson,50284,33,0,1.97,3,4.21,0,4.21,NA,8,1,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,David Braz,50317,33,4.5,5.33,17,9.31,-1.18,10.49,NA,NA,2,NA,18,5,13,4,12,24,NA,2,2,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,33,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,5,Contundido,4,mei,Everton,50301,33,0,1.68,16,7.34,0,7.34,3,NA,22,NA,31,NA,32,3,3,18,NA,2,1,7,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,33,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Marquinho,50407,33,0,0.87,7,3.99,0,3.99,NA,NA,3,NA,7,NA,10,2,1,6,NA,NA,NA,1,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Ganso,62977,33,0.8,1.63,25,7.35,0.35,7,8,NA,32,NA,79,NA,28,10,13,29,NA,NA,2,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,33,6.9,2.75,20,8.9,0.97,7.930000000000001,3,NA,22,NA,53,6,21,2,2,25,NA,1,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,2,lat,Apodi,51042,33,0.2,2.87,29,5.63,-0.36,5.99,4,NA,41,NA,50,7,47,12,13,12,NA,1,4,11,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,33,0,2.13,15,8.89,0,8.89,3,NA,10,NA,18,NA,25,4,1,22,NA,1,1,1,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Elicarlos,50313,33,0,0.82,17,4.58,0,4.58,5,NA,19,NA,25,NA,23,3,9,15,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,33,0,1.21,14,3.06,0,3.06,3,NA,14,NA,7,NA,16,1,1,16,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Walter,51413,33,0,7.22,6,8.36,0,8.36,NA,13,1,6,4,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,3,zag,Léo,50459,33,0,1.83,14,6.11,0,6.11,1,NA,5,NA,17,3,17,1,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,5,Contundido,2,lat,Gilson,52674,33,0,1.68,18,5.35,0,5.35,3,NA,16,NA,37,5,20,NA,1,19,NA,1,NA,NA,NA,2,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Anderson Martins,52618,33,0,2.05,10,3.52,0,3.52,5,NA,1,NA,12,4,12,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,2019
