clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,CV,FC,FD,FF,FS,G,PE,RB,SG,I,A,PP,GC,DD,GS,FT,DP,ano
354,Ceará,7,Provável,4,mei,Thiago Galhardo,71844,20,-0.7,6.44,17,11.29,-0.17,11.459999999999999,2,NA,17,14,13,25,8,44,17,NA,4,1,NA,NA,NA,NA,1,NA,2019
276,São Paulo,7,Provável,1,gol,Tiago Volpi,72018,20,0.7,5.06,19,10.54,0.28,10.26,NA,NA,NA,NA,NA,7,NA,14,NA,7,NA,NA,NA,NA,30,14,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Brenner,99789,20,0,2.3,6,3.14,0,3.14,NA,NA,2,2,4,4,NA,6,4,NA,NA,NA,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Tomás Andrade,97619,20,0,0.69,10,3.82,0,3.82,NA,NA,10,3,5,4,NA,19,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Julinho,73501,20,0,0.53,5,1.68,0,1.68,2,NA,4,2,2,3,NA,9,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Maurício,96464,20,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,5,Contundido,4,mei,Amaral,72071,20,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,1,gol,Daniel,96468,20,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Dawhan,97780,20,1.7,1.68,16,6.26,0.34,5.92,2,NA,16,NA,6,7,NA,18,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,5,ata,Maranhão,73513,20,0,1.58,11,3.04,0,3.04,NA,NA,12,1,3,18,1,14,6,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,2,lat,Bruno Cortez,72079,20,6.5,3.78,7,5.9,-0.74,6.640000000000001,NA,NA,8,NA,NA,6,NA,10,8,2,3,2,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,4,mei,Allan,96652,20,2.7,0.43,15,2.07,-0.25,2.32,6,1,32,7,8,20,NA,48,16,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rafael,97902,20,0,-1.2,1,0.73,0,0.73,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,2,lat,Rafael Santos,97907,20,0,1.65,2,0.9,0,0.9,1,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Léo Lopes,96965,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,Giovanni,72097,20,0,3.4,5,6.18,0,6.18,1,NA,3,NA,1,1,NA,11,5,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,2,lat,Danilo Avelar,72142,20,0,5.61,12,8.76,0,8.76,3,NA,15,5,2,21,1,23,18,7,1,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Glédson,73533,20,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,6,tec,Rodrigo Santana,97922,20,2.85,3.8,20,10.89,-0.15,11.040000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,2,lat,Mascarenhas,99721,20,0,-2.3,1,1.75,0,1.75,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Rogério,73540,20,0,2.95,7,9.4,0,9.4,NA,NA,7,5,4,11,1,7,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Erick,98022,20,0,0.03,6,0.77,0,0.77,1,NA,13,4,1,2,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Fessin,97994,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Fernando,99550,20,-0.1,2.65,13,3.94,-1.09,5.03,3,NA,23,2,NA,11,NA,25,11,6,NA,1,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Ricardo,99881,20,0,3.3,11,7.1,0,7.1,1,NA,8,1,3,7,1,21,19,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Chará,99891,20,0,4.25,17,12.01,0,12.01,NA,NA,9,11,10,24,3,49,19,NA,4,1,NA,NA,NA,NA,1,NA,2019
263,Botafogo,6,Nulo,5,ata,Igor Cássio,99661,20,0,-0.5,2,1.29,0,1.29,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Luan Pereira,99900,20,0,0.97,10,2.54,0,2.54,4,NA,7,1,2,10,NA,12,8,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,5,Contundido,4,mei,Nenê Bonilha,73608,20,0,0.3,1,2.41,0,2.41,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Lucas Campos,99903,20,0,1.83,7,2.2,0,2.2,1,NA,5,1,3,7,NA,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Patrick,99918,20,0,1.4,9,1.79,0,1.79,NA,NA,1,3,1,9,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Rickson,100002,20,0,1.63,3,1.99,0,1.99,NA,NA,1,NA,1,5,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,2,Dúvida,5,ata,Ezequiel,99915,20,3.7,2.9,2,4.58,0.51,4.07,NA,NA,NA,1,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Pedrinho,100103,20,0,0.6,2,1.02,0,1.02,NA,NA,2,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,5,ata,Lincoln,100065,20,0,1.97,8,3.74,0,3.74,1,NA,3,4,3,8,1,8,2,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Thuler,100125,20,0,1.21,9,3.28,0,3.28,1,NA,6,NA,NA,4,NA,7,4,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Felipe Pires,100289,20,0,3.78,5,5.63,0,5.63,NA,NA,3,1,3,8,1,9,2,NA,1,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Igor Gomes,100084,20,0,0.21,11,0.88,-0.2,1.08,2,NA,5,3,3,5,NA,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Felipe Jonatan,101708,20,1.5,3.38,14,8.71,0.15,8.56,NA,NA,9,5,5,6,2,24,7,4,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Bruninho,101716,20,4.4,4.38,5,2.77,-1.56,4.33,NA,NA,4,5,4,5,1,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,5,ata,Lucas Venuto,100290,20,0,0,2,2.16,-0.16,2.3200000000000003,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Marcos Vinícius,73721,20,0,0.6,2,4.01,0,4.01,NA,NA,2,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,3,zag,Bruno Alves,73620,20,0.4,3.2,16,6.99,-1.06,8.05,3,NA,24,1,4,8,NA,19,21,6,NA,1,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,6,tec,Tiago Nunes,98057,20,2.28,3.7,19,9.92,-0.02,9.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Alerrandro,101715,20,-0.7,5.59,9,6.27,-1.51,7.779999999999999,NA,NA,5,5,9,9,2,8,8,NA,3,1,NA,NA,NA,NA,2,NA,2019
267,Vasco,6,Nulo,5,ata,Marrony,101717,20,2,2.71,18,11.3,0.11,11.190000000000001,2,1,29,8,13,26,1,29,25,NA,5,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Richard Franco,99802,20,-2.4,3.15,10,4.13,-0.87,5,NA,NA,15,3,8,10,1,25,16,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,1,gol,Gabriel Batista,98333,20,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Jaderson,98224,20,0,0,1,0.76,0,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Rafael França,101719,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Filipe,100712,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Gabriel Lima,98400,20,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Miguel,105612,20,0,0.35,2,2.21,0,2.21,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,1,gol,João Pedro Borges,101721,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,1,gol,Tiepo,98412,20,1.4,3.44,20,13.34,-0.23,13.57,1,NA,NA,NA,NA,3,NA,15,NA,4,NA,NA,NA,NA,33,33,NA,3,2019
315,Chapecoense,6,Nulo,4,mei,Ronei,98419,20,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Bruno Guimarães,98352,20,3.1,4.72,13,12.51,0.07,12.44,1,NA,22,7,8,44,2,40,17,NA,NA,1,NA,NA,NA,NA,1,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Marco Ruben,73741,20,0.9,3.83,10,13.37,-1.15,14.52,1,NA,15,7,4,6,1,13,7,NA,5,3,NA,NA,NA,NA,2,NA,2019
283,Cruzeiro,6,Nulo,2,lat,Edílson,38523,20,0,0.92,6,4.97,0,4.97,1,2,8,NA,2,4,NA,12,9,1,NA,NA,NA,NA,NA,NA,1,NA,2019
267,Vasco,6,Nulo,3,zag,Miranda,101720,20,0,0.7,1,2.57,0,2.57,NA,NA,2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,4,mei,Gilberto,73789,20,2.5,2.32,5,2.84,-0.45,3.29,2,NA,8,1,2,3,NA,4,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Kendy,98421,20,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Felipe Melo,38545,20,6.5,1.82,9,6.9,0.67,6.23,5,1,16,2,10,13,1,22,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,3,zag,Kanu,98484,20,0,2.6,1,1.41,0,1.41,NA,NA,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,4,mei,Nilton,38573,20,0,0.16,8,2.88,0,2.88,3,NA,9,NA,2,6,NA,11,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
