clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,RB,SG,DD,GS,DP,FT,PP,CV,GC,ano
290,Goiás,5,Contundido,3,zag,David Duarte,91772,17,0,2.92,7,8.03,0,8.03,NA,NA,2,NA,3,3,NA,NA,10,7,2,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Caíque França,91808,17,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Ramón Martínez,92155,17,0,1.2,5,3.89,0,3.89,NA,1,3,NA,NA,2,NA,1,5,7,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,5,Contundido,5,ata,João Paulo,91972,17,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,7,Provável,3,zag,Nino,91708,17,2,2.12,15,3.34,-0.02,3.36,1,5,18,2,3,9,1,NA,15,22,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,André Luís,92146,17,2.7,2.74,10,4.77,0.51,4.26,NA,2,6,4,2,23,2,1,12,1,NA,NA,NA,NA,1,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Raul,92496,17,8.3,4.79,14,8.74,0.09,8.65,1,4,23,6,5,32,NA,NA,24,41,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Kevin ,91888,17,0,1.97,4,6.04,0,6.04,NA,1,1,NA,1,2,NA,NA,13,5,1,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Juninho,92182,17,4.4,5.04,7,6.01,0.18,5.83,NA,1,3,2,3,6,NA,NA,15,7,5,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,6,tec,Odair Hellmann,92273,17,5.72,4.25,17,11.18,0.71,10.469999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato Kayzer,92696,17,0,1.05,8,2.28,0,2.28,NA,NA,9,1,2,5,1,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Deyverson,92708,17,0,4.33,8,10.68,0,10.68,2,1,10,6,10,20,1,11,17,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Fernando Medeiros,92841,17,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,2,Dúvida,4,mei,Ronaldo,92981,17,0,3.7,6,4.62,0,4.62,1,2,12,NA,2,2,NA,NA,13,19,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,4,mei,Mateus Vital,93108,17,12.4,4.72,11,8.68,1.24,7.4399999999999995,2,1,2,4,8,25,1,NA,11,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,5,ata,Thiago Santos,93151,17,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
