clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,PE,RB,FD,FF,FS,A,CA,G,I,SG,FT,DD,DP,GS,CV,GC,PP,ano
293,Athlético-PR,7,Provável,5,ata,Rony,91607,14,0,5.98,9,13.28,0,13.28,24,12,9,7,10,19,2,3,3,2,NA,1,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,3,zag,Gil,68923,14,9.5,2.7,5,10.63,2.55,8.080000000000002,3,3,4,NA,3,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,6,tec,Luiz Felipe Scolari,43618,14,3.4,4.18,9,12.17,0.3,11.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Ramiro,78715,14,0,1.71,8,10.07,-0.88,10.950000000000001,10,9,8,1,2,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Rafael,68928,14,0,2.73,3,3.99,0,3.99,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,5,NA,6,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Tião,47134,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,5,Contundido,3,zag,Ernando,49651,14,0,4.64,8,10.78,0,10.78,2,3,4,NA,NA,4,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,1,gol,Júlio César,49673,14,-3,2.75,4,4.69,-1.35,6.040000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,8,NA,9,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Ramires,50293,14,0,1.3,1,8.11,0,8.11,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,2,Dúvida,5,ata,Alexandre Pato,49675,14,23.5,5.44,12,12.41,4.24,8.17,8,21,9,5,12,18,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Guilherme,50294,14,0,-1.1,3,3.06,0,3.06,3,6,2,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,2,Dúvida,4,mei,Everton,50301,14,-2.3,1.66,9,6.81,-0.6,7.409999999999999,21,15,6,2,2,9,2,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,4,mei,Elicarlos,50313,14,0,1.52,6,5.19,0,5.19,9,11,7,2,5,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,3,zag,David Braz,50317,14,0.2,1.77,3,5.78,-0.82,6.6000000000000005,1,4,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,3,zag,Marcelo Oliveira,50328,14,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,2,lat,Apodi,51042,14,0,0.67,12,3.71,-0.95,4.66,21,28,5,3,3,10,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Léo,50459,14,-1.4,2.47,11,7.01,-0.69,7.699999999999999,14,11,15,NA,NA,4,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,3,Suspenso,5,ata,Kayke,50402,14,-2.8,4.71,13,7.22,-1.47,8.69,13,23,3,5,14,5,2,3,6,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Pedro Ken,50877,14,0,1.03,7,2.79,0,2.79,7,1,6,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Marquinho,50407,14,0,0.82,4,4.76,0,4.76,7,4,4,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,2,lat,Eduardo,50645,14,3.5,3.35,8,8.77,0.44,8.33,7,19,12,NA,NA,10,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Hudson,50324,14,-0.5,3.07,11,10.36,-0.8,11.16,21,14,20,4,1,9,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,3,zag,Rafael Pereira,51194,14,0,4.4,2,5.26,0,5.26,NA,4,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Breno,50408,14,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Roger Carvalho,51415,14,3.8,0.95,11,4.44,0.91,3.5300000000000002,5,24,5,NA,2,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,1,gol,Walter,51413,14,0,10.6,2,7.05,0,7.05,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,6,NA,1,NA,NA,NA,2019
354,Ceará,5,Contundido,2,lat,Thiago Carleto,51700,14,0,2.6,4,7.44,0,7.44,4,16,2,2,1,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,3,zag,Tiago Alves,51495,14,0,3.18,5,6.87,0,6.87,3,8,4,NA,1,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Elias,54395,14,7.4,2.31,12,10.32,1.47,8.85,13,38,18,2,2,11,1,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Ralf,52190,14,0,4.41,9,11.51,0,11.51,9,16,25,1,1,17,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Derley,60791,14,0,1.5,1,4.08,0,4.08,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Réver,52253,14,5.1,4.62,11,12.34,0.05,12.29,2,16,21,2,4,4,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,3,zag,Anderson Martins,52618,14,0,0.6,5,2.8,0,2.8,5,5,5,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,2,Dúvida,4,mei,Everton Ribeiro,51772,14,8.7,3.83,11,13.06,1.84,11.22,10,42,15,4,3,19,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Victor,52950,14,0,3.32,9,6.56,0,6.56,NA,7,NA,NA,NA,NA,NA,1,NA,NA,1,NA,17,NA,11,NA,NA,NA,2019
263,Botafogo,7,Provável,2,lat,Gilson,52674,14,0.3,2.07,10,4.93,-0.93,5.859999999999999,11,22,11,NA,1,9,NA,2,NA,NA,4,NA,NA,NA,NA,1,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Bruno César,52558,14,0,2.08,8,7.09,0,7.09,5,9,1,NA,1,12,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,3,zag,Dedé,60819,14,3.2,5.19,12,15.47,0.53,14.940000000000001,10,28,22,4,6,12,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Gilberto,61188,14,19.1,7.65,11,18.43,0.48,17.95,7,14,8,4,10,6,2,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Uendel,60852,14,6.2,4.42,5,3.87,1.04,2.83,9,10,11,1,3,2,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,3,Suspenso,2,lat,Patric,60969,14,1.2,1.66,8,3.91,-0.36,4.2700000000000005,18,23,6,1,5,2,1,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Lucca,61149,14,-2.4,1.22,4,4.21,-1.06,5.27,6,7,2,3,3,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,1,gol,Fabrício,61228,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Camilo,62009,14,-0.7,3.33,9,6.37,-1.27,7.640000000000001,9,24,7,6,8,10,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,5,Contundido,4,mei,Rodriguinho,61033,14,0,2.48,5,5.52,0,5.52,3,9,4,1,3,7,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,4,mei,D'Alessandro,62023,14,-2.9,1.26,8,6.15,-0.7,6.8500000000000005,NA,33,1,4,4,6,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,2019
266,Fluminense,7,Provável,3,zag,Nino,91708,14,3.5,2.12,13,3.46,0.29,3.17,16,15,18,2,2,8,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Euller ,84890,14,0.9,0.9,1,3.33,-0.67,4,1,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Airton,61985,14,0,-0.55,6,2.46,0,2.46,6,6,4,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
290,Goiás,6,Nulo,1,gol,Matheus Alves,91712,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,2,lat,Henrique,84893,14,8.8,3.67,6,5.26,0.26,5,7,11,9,1,2,13,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Kevin ,91888,14,0.3,1.97,4,6.04,0.24,5.8,1,13,5,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,1,gol,Caíque França,91808,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,4,mei,Felipe,91733,14,10.2,3.17,10,7.6,1.06,6.539999999999999,17,35,32,2,1,11,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,5,Contundido,3,zag,David Duarte,91772,14,0,2.92,7,8.03,0,8.03,2,10,7,NA,3,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,5,Contundido,5,ata,João Paulo,91972,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,5,ata,Giovanny ,92085,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Ramón Martínez,92155,14,5.9,1.98,4,5.28,1.38,3.9000000000000004,2,2,6,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,2,lat,Ramon,101597,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Arthur Cabral,92171,14,0,-0.6,1,5.94,0,5.94,4,1,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,André Luís,92146,14,0,3.12,8,4.46,-0.14,4.6,4,10,1,4,2,21,NA,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Vitor Gabriel,101596,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,3,zag,Juninho,92182,14,0,5.83,4,5.73,0,5.73,2,6,4,1,3,3,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Raul,92496,14,12.5,4.09,11,8.63,1.34,7.290000000000001,19,14,27,3,5,23,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,2,lat,Marcelo Hermes,82639,14,0,-1.1,1,3.14,0,3.14,2,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Renato Kayzer,92696,14,7.5,0.87,6,2.81,1.58,1.23,8,2,NA,NA,1,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Léo Artur,82644,14,0,0.57,7,1.76,0,1.76,1,3,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Régis,82647,14,0,2.1,2,4.02,0,4.02,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,1,gol,Marcelo Rangel,82730,14,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,6,tec,Odair Hellmann,92273,14,3.9,4.23,14,10.74,0.44,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,5,ata,Deyverson,92708,14,1.7,4.33,8,10.68,-0.58,11.26,10,17,6,6,10,20,2,1,1,11,NA,NA,NA,NA,NA,NA,NA,NA,2019
