clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,FC,PE,RB,FD,FF,FS,A,CA,G,I,SG,FT,DD,DP,GS,CV,GC,PP,ano
354,Ceará,6,Nulo,4,mei,Fernando Sobral,84428,14,0,2.11,12,5.28,0,5.28,14,22,20,2,5,10,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,4,mei,Jean Carlos,84253,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,2,lat,Bruno Melo,84339,14,16.2,8.3,2,5.97,2.88,3.09,1,4,2,NA,1,4,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Danilo Barcelos,84382,14,0,2.34,8,5,0,5,17,19,9,4,2,5,NA,NA,1,1,1,1,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,7,Provável,1,gol,Cleiton,93882,14,0.7,2.68,5,2.3,-1.03,3.33,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,4,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Ribamar,94068,14,0,0.8,1,2.64,0,2.64,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,3,Suspenso,4,mei,Marcos Júnior,93893,14,8.9,2.81,8,4.88,2.42,2.46,16,27,14,2,4,14,NA,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,John Victor,94044,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Matheus Fernandes,94067,14,0,2,1,4.25,0,4.25,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,5,ata,Felipe Vizeu,94138,14,0,0.67,9,2.41,0,2.41,9,7,NA,NA,4,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,3,zag,Valdo,84509,14,0,3.35,10,4.18,-0.21,4.39,8,9,13,2,1,9,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,1,gol,Marcos Felipe ,85004,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,3,zag,Luan Peres ,84847,14,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,3,Suspenso,5,ata,Nico López,84709,14,-2.8,2.35,9,13.18,-2.11,15.29,12,19,11,5,11,7,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,1,gol,Max Walef,84338,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,4,mei,Diego Pituca,94156,14,5,1.71,13,3.98,1.11,2.87,31,36,16,4,9,13,NA,4,1,NA,NA,2,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Uilson,85418,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Lucas Frigeri,84854,14,0,11.7,1,6.17,0,6.17,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,3,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Abner Felipe,84860,14,0,8.4,2,6.3,0,6.3,6,9,4,NA,NA,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,William Oliveira,94297,14,0,0.07,3,2.16,-0.07,2.23,5,1,1,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Everaldo ,91151,14,1.6,1.35,8,3.26,0.3,2.96,8,4,4,NA,5,9,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Romarinho,84523,14,5.6,3.02,12,5.64,0.59,5.05,10,23,11,NA,2,29,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Valdívia,85423,14,0,1.54,10,3.85,0,3.85,10,14,5,3,5,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Alessandro Vinícius,94495,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,4,mei,Gustavo Blanco,91191,14,0,0,0,9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Raphael Veiga,94509,14,0,2.64,5,6.99,0,6.99,4,6,NA,3,3,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,5,ata,Leandro Barcia,91242,14,4.7,4.88,12,9.8,-0.47,10.270000000000001,21,19,16,6,12,18,1,3,3,2,NA,1,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,7,Provável,2,lat,Victor Luis,86410,14,0,-0.9,1,5.11,0,5.11,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,João Paulo,85425,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Pepê,91201,14,4.7,3.38,10,5.54,0.81,4.73,6,15,5,4,10,4,NA,1,3,6,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,2,lat,Alex Silva,84861,14,0,1.7,1,4.35,0,4.35,2,1,1,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,4,mei,Jonatan Gomez,94857,14,1.8,2.93,7,3.73,-0.14,3.87,6,21,5,4,5,22,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Rodriguez,91251,14,0,6.94,5,5.01,0,5.01,1,7,11,NA,1,1,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,3,Suspenso,3,zag,Arboleda,91573,14,-2.3,0.89,7,5.6,-0.22,5.819999999999999,12,13,6,NA,2,4,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Léo,85626,14,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Alex Santana,85465,14,0,4.66,11,10.99,0,10.99,8,14,8,3,8,15,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,5,ata,Pedro,94583,14,0.8,5.88,10,11.75,-0.98,12.73,6,9,4,6,8,7,NA,NA,5,3,NA,1,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Perri,91260,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,3,Suspenso,2,lat,Juninho Capixaba,94968,14,-1.8,3.49,10,6.68,-0.77,7.449999999999999,23,27,20,1,1,22,1,6,NA,3,4,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Leonardo Valencia,91508,14,0,-0.48,4,3.74,0,3.74,2,5,1,1,3,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Lucas Fernandes,94931,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,6,Nulo,5,ata,Aylon,85930,14,0,1.46,5,2.71,0,2.71,1,3,1,1,NA,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,4,mei,Hyoran,85931,14,0,3.95,2,5.52,0,5.52,4,4,2,1,3,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Kunde,95476,14,0,0.1,4,0.75,0,0.75,7,7,3,NA,NA,1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,5,ata,Borja,86120,14,0,0,0,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Felipinho,94981,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Pablo Dyego,86444,14,0,-0.25,2,1.6,0,1.6,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Marco Antônio,94975,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,4,mei,Everton Felipe,86519,14,0,1.2,2,2.6,0,2.6,NA,3,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Geovane Itinga,94980,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,3,zag,Léo Santos,95820,14,0,0,0,6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,3,Suspenso,3,zag,Aguilar,95494,14,0.5,2.83,11,5,-0.43,5.43,16,8,13,NA,NA,6,NA,3,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Wanderson,86143,14,-2.5,-2.5,1,1.68,-1.32,3,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,7,Provável,2,lat,Jefferson,95220,14,3.7,5.55,13,11.87,-0.38,12.25,8,33,32,1,3,21,NA,2,1,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Vico,95622,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Max,94982,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Orinho,95542,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Mosquera,86116,14,0,0.5,2,2.69,0,2.69,2,7,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,4,mei,Tchê Tchê,86686,14,5,1.95,12,5.25,1.06,4.1899999999999995,18,29,14,6,5,18,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,2,lat,João Lucas,86740,14,-0.6,2.84,11,9.66,-0.16,9.82,6,25,14,2,1,6,NA,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,3,zag,Marcelo Benevenuto,95638,14,2.3,4.67,3,4.93,-1.41,6.34,2,1,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Richard,86711,14,-0.6,1.68,8,3.91,-0.61,4.5200000000000005,9,14,12,NA,2,9,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,5,ata,Everton,86757,14,-0.8,5.26,11,15.1,-2.61,17.71,5,16,12,6,5,6,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,6,tec,Zé Ricardo,95780,14,0,0,0,8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Araruna,95660,14,0,0.47,3,3.04,0,3.04,1,7,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Lucas Kal,95662,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Matheus Rossetto,86766,14,-1.6,1.6,4,3,-0.78,3.7800000000000002,5,12,8,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,4,mei,Caio,101601,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,5,ata,Luan,86759,14,-1.7,4.03,9,9.29,-1.27,10.559999999999999,7,24,4,4,4,15,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,João Paulo,86770,14,7.1,2.92,13,6.49,1.01,5.48,21,36,22,5,6,23,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,4,mei,Gustavo Bochecha,95798,14,4.4,1.09,8,6.17,0.31,5.86,4,27,11,1,4,10,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,4,mei,Piris da Motta,95802,14,0,0.6,9,3.23,-0.04,3.27,5,8,6,NA,1,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,2,lat,Filipe Luís,38750,14,1,0.85,2,11.21,-0.55,11.760000000000002,5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,7,Provável,5,ata,Artur,95799,14,0,3.71,12,10.97,0,10.97,12,48,13,6,9,17,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,7,Provável,1,gol,Jordi,86776,14,-4,5.8,13,8.65,-1.72,10.370000000000001,1,5,NA,NA,NA,3,NA,3,NA,NA,4,NA,34,NA,20,NA,NA,NA,2019
315,Chapecoense,7,Provável,6,tec,Emerson Cris,95830,14,3.39,4.44,3,9.61,0.13,9.479999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Xandão,101626,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Yan Sasse,96055,14,0,2.03,6,4.4,0,4.4,8,12,7,1,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Hugo Borges,95875,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Raniel,86797,14,-4.1,1.92,6,5.61,-1.28,6.890000000000001,7,8,3,3,6,11,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2019
315,Chapecoense,6,Nulo,3,zag,Ruan,95860,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,José Welison,86859,14,0,2.25,6,4.6,0,4.6,6,9,12,NA,4,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Ewandro,86842,14,0,-2.5,1,2.46,0,2.46,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,3,zag,Emerson Santos,86972,14,0,3.71,7,4.52,0,4.52,7,19,11,1,NA,2,NA,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,2,lat,Zeca,87192,14,0,3.88,9,6.88,0,6.88,7,15,22,NA,NA,2,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,2,lat,Leonardo,86973,14,0,2.7,9,5.41,0,5.41,9,18,7,4,3,1,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Nathan,87009,14,0,3.75,6,6.22,0,6.22,1,5,4,2,2,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Gustavo,86932,14,0,0.85,4,3.61,0,3.61,6,2,1,2,2,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,6,tec,Rogério Ceni,97341,14,7.21,3.16,14,8.42,1.18,7.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,3,zag,Pedro Henrique,87225,14,3.5,5.33,7,8.98,-0.19,9.17,2,9,9,2,2,7,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,7,Provável,4,mei,Lima,96340,14,6.6,3.45,2,4.09,1.7,2.3899999999999997,4,6,2,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,3,zag,Quintero,96382,14,4.7,1.32,14,3.56,1.09,2.4699999999999998,4,20,9,1,1,6,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Juan Boselli,102222,14,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Daniel,97349,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,3,zag,Kannemann,87342,14,0,3.08,4,12.38,0,12.38,12,4,7,NA,NA,8,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Ulisses,101647,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Bruninho,101716,14,0,0.57,3,1.53,0,1.53,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Thalles,95222,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Alerrandro,101715,14,-0.5,6.12,7,6.32,-0.68,7,3,4,5,2,7,9,1,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Lucas Santos,101718,14,-1.6,-1.6,1,3.56,-1.44,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Demethryus,101678,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Marcinho,95332,14,0,-0.47,3,1.82,0,1.82,2,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Matheus Jesus,95335,14,2.5,1,3,4.25,0.4,3.85,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,3,Suspenso,5,ata,Marrony,101717,14,-2.6,3.35,13,11.41,-0.59,12,19,24,20,6,10,23,1,1,1,5,NA,NA,NA,NA,NA,1,NA,NA,2019
285,Internacional,7,Provável,2,lat,Natanael,86264,14,0,1.27,4,4.41,0,4.41,6,9,7,NA,1,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2019
267,Vasco,6,Nulo,2,lat,Rafael França,101719,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,7,Provável,2,lat,Orejuela,95352,14,-1.6,1.3,4,4.26,-0.35,4.609999999999999,10,5,7,1,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,3,Suspenso,4,mei,Gregore,95464,14,-5.2,2.42,12,9.35,-1.13,10.48,36,38,41,1,4,7,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2019
267,Vasco,6,Nulo,3,zag,Miranda,101720,14,0,0.7,1,2.57,0,2.57,2,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Felipe Jonatan,101708,14,2.3,4.43,9,9.26,0.56,8.7,7,19,6,3,5,3,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Luanderson ,86380,14,0,3,2,2.62,0,2.62,3,1,3,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,1,gol,João Pedro Borges,101721,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,2,lat,Carlos Augusto,101803,14,0,4.23,3,5.59,0,5.59,3,7,3,NA,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,3,zag,Diego,101728,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,1,gol,Vitor Eudes,102137,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Ivonei,105899,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,3,Suspenso,5,ata,Gonzalo Carneiro,101796,14,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,3,Suspenso,3,zag,Thiago Heleno,38394,14,0,-2.1,2,1.27,0,1.27,2,3,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Igor Vinícius,95466,14,3.7,3.65,9,7.89,0.18,7.71,18,16,19,1,3,7,2,2,NA,NA,3,NA,NA,NA,NA,2,NA,NA,2019
276,São Paulo,6,Nulo,1,gol,Lucas Paes,101837,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,5,ata,Jairinho,102139,14,0,1.77,4,2.89,0,2.89,1,2,2,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,7,Provável,5,ata,Wellington Paulista,38279,14,0.1,4.2,10,10.13,-0.15,10.280000000000001,24,10,6,7,9,15,1,2,3,6,NA,1,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,2,lat,Iury,101846,14,1.2,2.5,4,5.84,-0.92,6.76,6,15,5,NA,NA,4,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Jadson,38315,14,0,-0.34,5,3.41,0,3.41,3,11,NA,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Felipe Sousa,101861,14,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Gabriel Calabres,101911,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Braian Romero,101997,14,2.9,4.48,6,5.01,-0.72,5.7299999999999995,14,11,9,1,5,10,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,7,Provável,4,mei,Márcio Araújo,38311,14,1.2,3.97,14,9.45,-0.43,9.879999999999999,15,18,37,3,6,17,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,4,mei,Guilherme Nunes,101912,14,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Adriano,38336,14,0,0,0,13,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,6,Nulo,5,ata,Toró,101885,14,3.8,2.04,12,5.41,0.73,4.68,17,22,8,3,10,15,NA,1,2,1,NA,NA,NA,NA,NA,1,NA,NA,2019
263,Botafogo,6,Nulo,1,gol,Diego Cavalieri,38431,14,0,5.5,2,5.46,0,5.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,5,ata,Vitinho,101960,14,1.3,3.53,6,2.55,-1.07,3.62,8,3,1,2,4,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,1,gol,Diego Alves,38509,14,-2,2.9,10,5.1,-0.78,5.88,NA,5,1,NA,NA,NA,NA,NA,NA,NA,2,NA,15,NA,13,NA,NA,NA,2019
267,Vasco,7,Provável,3,zag,Leandro Castan,38505,14,9.5,5.47,4,10.7,1.29,9.41,3,7,6,NA,NA,6,NA,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,2019
