clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,CV,FC,FD,FF,FS,G,I,PE,RB,DD,DP,GS,SG,PP,FT,GC,ano
314,Avaí,6,Nulo,4,mei,Jean,99459,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,3,Suspenso,3,zag,Ricardo,99881,37,-6.5,2.39,17,5.4,-1.73,7.130000000000001,NA,2,1,17,1,4,8,1,NA,25,26,NA,NA,NA,3,NA,NA,NA,2019
314,Avaí,7,Provável,6,tec,Evando Camillato,96454,37,4.23,1.84,13,6.79,0.57,6.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,7,Provável,4,mei,Matheus Frizzo,106628,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Dudu,97133,37,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,7,Provável,5,ata,Janderson,97245,37,9.5,2.84,18,3.54,0.5,3.04,1,NA,NA,17,4,9,28,2,3,22,12,NA,NA,NA,NA,NA,1,NA,2019
314,Avaí,6,Nulo,3,zag,Maurício,96464,37,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,2,lat,Ramon Pereira,106669,37,6,3.85,2,3.53,1.93,1.5999999999999999,NA,NA,NA,NA,1,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,6,tec,Eduardo Barros,106612,37,4.05,4.5,7,11.77,0.09,11.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Mariano Vázquez,98760,37,0,1.9,6,3.43,0,3.43,NA,1,NA,11,2,NA,12,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Mantuan,97315,37,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Matheus Alessandro,97527,37,0,0.67,7,2.09,0,2.09,NA,NA,NA,2,NA,1,5,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Kunde,95476,37,3.5,1.05,12,1.43,0.37,1.06,NA,2,1,12,NA,1,9,NA,NA,24,13,NA,NA,NA,2,NA,NA,NA,2019
356,Fortaleza,7,Provável,6,tec,Rogério Ceni,97341,37,5.79,3.5,35,9.04,0.28,8.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,3,zag,Frazan,97528,37,0,1.88,11,1.78,0,1.78,NA,2,2,11,1,NA,2,1,NA,8,5,NA,NA,NA,5,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,1,gol,Caio,99460,37,0,1.6,3,1.25,0,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,NA,4,1,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Wesley,99462,37,0.5,-0.89,9,1.28,0.49,0.79,NA,2,1,9,NA,3,3,NA,1,13,4,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Marquinhos,98765,37,4.4,3.43,12,2.28,-1.03,3.3099999999999996,3,NA,NA,13,7,5,10,1,NA,16,8,NA,NA,NA,NA,NA,NA,NA,2019
315,Chapecoense,5,Contundido,3,zag,Hiago,97535,37,0,0.78,5,1.76,0,1.76,NA,NA,1,4,NA,1,NA,NA,NA,3,4,NA,NA,NA,1,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Pachu,97352,37,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,3,zag,Rafael,97902,37,0,-1.2,1,0.73,0,0.73,NA,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,2,lat,Lucas Hernández,98822,37,0,-0.62,4,1.97,0,1.97,NA,2,NA,10,1,1,6,NA,NA,10,3,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Wenderson,99474,37,0,1.37,3,2.63,-0.27,2.9,NA,NA,NA,NA,NA,NA,4,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Lucas Campos,99903,37,0,1.39,9,1.68,0,1.68,NA,2,NA,10,2,3,10,NA,NA,6,9,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,6,Nulo,4,mei,Jean Pyerre,98832,37,0,5.61,10,10.48,0,10.48,2,NA,NA,10,4,7,11,3,NA,23,12,NA,NA,NA,NA,NA,NA,NA,2019
276,São Paulo,7,Provável,5,ata,Marcos Calazans,97452,37,0,0.13,4,1.94,0,1.94,NA,1,NA,7,1,NA,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,2,lat,Fernando,99550,37,0,3.13,22,5.18,0,5.18,1,7,NA,37,4,2,17,NA,NA,47,35,NA,NA,NA,8,NA,1,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Ezequiel,99915,37,1.8,1.73,13,4.21,0.15,4.06,NA,NA,NA,5,2,3,13,NA,1,8,7,NA,NA,NA,NA,NA,2,NA,2019
