clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,A,CA,FC,FD,FF,FS,G,I,PE,PP,RB,DD,GS,SG,CV,FT,DP,GC,ano
290,Goiás,2,Dúvida,2,lat,Marcelo Hermes,82639,24,0,2.68,8,3.93,0,3.93,1,3,9,1,3,7,NA,NA,17,NA,10,NA,NA,2,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,1,gol,Marcelo Rangel,82730,24,0,12.5,1,5.43,0,5.43,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,5,ata,Daniel Amorim,82880,24,0,1.37,9,5.13,0,5.13,NA,1,6,3,5,9,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Régis,82647,24,1.5,1.9,3,3.56,-0.46,4.0200000000000005,NA,NA,NA,1,1,2,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,2,lat,Cristovam,82930,24,0,1.25,4,2.34,0,2.34,NA,2,7,NA,1,6,NA,NA,11,NA,8,NA,NA,NA,NA,NA,NA,NA,2019
283,Cruzeiro,6,Nulo,5,ata,Joel,82787,24,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,5,ata,Victor Rangel,82653,24,0,0.03,9,1.53,0,1.53,NA,2,13,1,2,17,NA,1,10,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,4,mei,Matheus Galdezani,82634,24,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,5,ata,Vinícius Araújo,82767,24,0,-0.3,1,1.51,0,1.51,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Matheus Ribeiro,82943,24,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,5,ata,Gustavo,86932,24,0,1.52,11,3.53,-0.44,3.9699999999999998,NA,NA,13,4,5,10,1,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Otero,83004,24,0,3.76,9,8.56,0,8.56,NA,1,12,11,12,24,1,NA,13,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,6,Nulo,5,ata,Gabriel,83257,24,0,9.93,18,19.48,0,19.48,3,6,14,18,22,16,18,11,35,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,4,mei,Yuri,83263,24,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
284,Grêmio,5,Contundido,2,lat,Leonardo,86973,24,0,2.7,9,5.41,0,5.41,NA,2,9,4,3,1,NA,NA,18,NA,7,NA,NA,4,NA,NA,NA,NA,2019
285,Internacional,2,Dúvida,3,zag,Emerson Santos,86972,24,-0.5,2.88,11,4.12,-0.3,4.42,NA,3,13,2,NA,3,1,1,22,NA,13,NA,NA,4,NA,NA,NA,NA,2019
285,Internacional,6,Nulo,2,lat,Zeca,87192,24,0,3.93,15,7.09,0,7.09,NA,3,12,1,NA,5,NA,NA,29,NA,34,NA,NA,5,NA,NA,NA,NA,2019
266,Fluminense,6,Nulo,5,ata,Lucão,83199,24,0,-0.15,2,2.71,0,2.71,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,4,mei,Rafinha,84381,24,0.3,1.28,5,2.73,0.03,2.7,NA,NA,3,1,2,3,NA,NA,3,NA,1,NA,NA,NA,NA,1,NA,NA,2019
282,Atlético-MG,7,Provável,4,mei,Nathan,87009,24,7.7,3.11,14,6.43,0.2,6.2299999999999995,NA,1,13,4,5,4,4,NA,19,NA,10,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,5,Contundido,4,mei,Júnior Urso,71829,24,0,2.13,14,6.7,0,6.7,NA,3,21,7,6,15,NA,1,23,NA,22,NA,NA,NA,NA,NA,NA,NA,2019
264,Corinthians,6,Nulo,4,mei,Sornoza,87877,24,0,2.39,14,4.42,0,4.42,1,3,15,6,10,16,NA,1,16,NA,14,NA,NA,NA,NA,1,NA,NA,2019
275,Palmeiras,7,Provável,4,mei,Gustavo Scarpa,87999,24,4.3,3.02,16,5.3,-0.23,5.53,2,1,10,13,11,10,2,NA,40,NA,8,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Matheus Vargas,87929,24,0,1.6,2,2.2,0,2.2,NA,NA,3,NA,NA,4,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Yuri,88125,24,-0.5,-0.32,5,1.66,-0.32,1.98,NA,1,4,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Fernando Sobral,84428,24,0,2.14,13,5.34,0,5.34,NA,1,17,2,6,11,NA,1,23,NA,22,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,7,Provável,2,lat,Danilo Barcelos,84382,24,7.7,3.24,16,6.47,1.56,4.91,1,1,26,5,7,8,2,1,41,NA,20,NA,NA,3,1,1,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Paulo Ricardo,88224,24,0,-0.3,1,2.22,0,2.22,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,7,Provável,2,lat,Jorge,88065,24,8.2,7.07,19,15.94,0.32,15.62,4,3,24,10,9,29,1,2,36,NA,35,NA,NA,10,NA,NA,NA,NA,2019
341,CSA,2,Dúvida,5,ata,Bruno Alves,84462,24,0.3,-0.75,4,0.78,0,0.78,NA,1,4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
290,Goiás,6,Nulo,3,zag,Lucão,84554,24,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,3,Suspenso,3,zag,Valdo,84509,24,0.2,2.69,20,4.49,-0.03,4.5200000000000005,1,3,19,3,1,14,NA,NA,20,NA,26,NA,NA,4,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Lucas Frigeri,84854,24,0,3.7,2,3.88,0,3.88,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,6,5,NA,NA,NA,NA,NA,2019
277,Santos,2,Dúvida,3,zag,Luan Peres ,84847,24,0,1.3,2,3.42,0,3.42,NA,1,4,NA,1,1,NA,NA,4,NA,1,NA,NA,1,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,5,ata,Romarinho,84523,24,3.2,2.73,20,5.45,0.34,5.11,2,1,13,9,6,44,1,2,42,NA,14,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,7,Provável,5,ata,Nico López,84709,24,-0.5,3.17,16,13.27,-1.53,14.799999999999999,3,5,21,10,16,11,1,6,40,NA,18,NA,NA,NA,NA,2,NA,NA,2019
293,Athlético-PR,6,Nulo,2,lat,Abner Felipe,84860,24,0,6.43,3,4.81,0,4.81,2,NA,6,NA,NA,5,NA,NA,9,NA,5,NA,NA,1,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,2,lat,Alex Silva,84861,24,0,1.7,1,4.35,0,4.35,NA,1,2,1,1,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
267,Vasco,6,Nulo,2,lat,Henrique,84893,24,0,2.55,10,3.75,0,3.75,NA,5,14,1,2,18,NA,NA,13,NA,13,NA,NA,3,NA,NA,NA,NA,2019
262,Flamengo,5,Contundido,5,ata,Berrío ,85300,24,0,1.17,16,5.06,0,5.06,2,1,15,1,6,4,1,NA,16,NA,8,NA,NA,NA,1,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Valdívia,85423,24,0,1.45,11,3.86,0,3.86,1,NA,10,3,5,10,NA,NA,14,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,5,ata,Fernandinho,91130,24,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
341,CSA,6,Nulo,2,lat,Euller ,84890,24,0,1.65,6,3.6,0,3.6,NA,NA,2,1,5,3,NA,NA,6,NA,2,NA,NA,NA,NA,1,NA,NA,2019
266,Fluminense,6,Nulo,1,gol,Marcos Felipe ,85004,24,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,5,Contundido,1,gol,Uilson,85418,24,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,1,gol,João Paulo,85425,24,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,5,Contundido,4,mei,Alex Santana,85465,24,0,4.82,15,10.08,0,10.08,NA,2,11,6,13,21,5,NA,19,NA,11,NA,NA,NA,NA,1,NA,NA,2019
276,São Paulo,6,Nulo,2,lat,Léo,85626,24,0,-1,1,3.67,0,3.67,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,4,mei,Hyoran,85931,24,0,4.16,5,5.14,0,5.14,1,NA,6,3,5,5,NA,NA,6,NA,5,NA,NA,NA,NA,1,NA,NA,2019
290,Goiás,3,Suspenso,2,lat,Daniel Guedes ,88225,24,0,2.31,14,5.6,0,5.6,NA,2,23,1,2,7,NA,2,35,NA,22,NA,NA,4,NA,NA,NA,NA,2019
314,Avaí,7,Provável,4,mei,Mosquera,86116,24,-2.2,1.1,9,2.06,-0.89,2.95,NA,2,8,NA,3,13,NA,NA,10,NA,8,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,3,zag,Wanderson,86143,24,0,-2.5,1,1.68,0,1.68,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Gabriel Dias,88368,24,0,1.65,19,3.72,0,3.72,NA,4,21,4,4,26,NA,1,17,NA,23,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,2,Dúvida,5,ata,Borja,86120,24,0,1.6,5,5.77,0,5.77,1,1,5,3,1,6,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
285,Internacional,5,Contundido,2,lat,Natanael,86264,24,0,1.47,6,4.46,0,4.46,NA,2,8,NA,1,4,NA,NA,15,NA,9,NA,NA,2,NA,NA,NA,1,2019
314,Avaí,6,Nulo,5,ata,Bruno Sávio,89101,24,0,1.63,4,2.22,0,2.22,NA,NA,2,1,2,1,NA,NA,6,NA,4,NA,NA,NA,NA,NA,NA,NA,2019
356,Fortaleza,6,Nulo,4,mei,Marlon,88427,24,-0.6,0.27,12,2.76,-0.19,2.9499999999999997,NA,1,9,NA,NA,8,NA,NA,6,NA,5,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,5,ata,Leandro Carvalho,88669,24,0,3.42,19,10.65,0,10.65,1,3,14,10,13,27,3,2,38,NA,17,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Iago Maidana,89226,24,1.4,3.35,4,3.9,0.13,3.77,NA,2,5,NA,2,2,1,NA,9,NA,6,NA,NA,NA,NA,1,NA,NA,2019
263,Botafogo,6,Nulo,4,mei,Jean,89150,24,0,0.93,3,3.57,0,3.57,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2019
275,Palmeiras,6,Nulo,2,lat,Victor Luis,86410,24,0,0.2,2,5.22,0,5.22,NA,NA,5,NA,1,NA,NA,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Luanderson ,86380,24,0,3,2,2.62,0,2.62,NA,NA,3,NA,1,5,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
263,Botafogo,7,Provável,5,ata,Vinícius Tanque,88651,24,0,-1.2,3,0.87,0,0.87,NA,NA,6,NA,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
266,Fluminense,5,Contundido,5,ata,Pablo Dyego,86444,24,0,0.73,3,2.03,0,2.03,NA,NA,2,NA,NA,1,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,2019
262,Flamengo,7,Provável,4,mei,Gerson,89256,24,2.4,4.42,14,9.28,-0.25,9.53,1,1,33,3,4,47,1,NA,37,NA,28,NA,NA,NA,NA,2,NA,NA,2019
293,Athlético-PR,6,Nulo,4,mei,Everton Felipe,86519,24,0,0.8,7,2.34,0,2.34,NA,1,3,1,3,8,NA,NA,10,NA,3,NA,NA,NA,NA,NA,NA,NA,2019
265,Bahia,6,Nulo,2,lat,João Pedro ,89273,24,0,4.7,1,4.89,0,4.89,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,3,zag,Igor Rabello,89493,24,5.3,2.46,20,9.39,0.88,8.51,NA,NA,19,1,6,15,NA,1,26,NA,29,NA,NA,3,1,NA,NA,NA,2019
267,Vasco,6,Nulo,4,mei,Felipe Ferreira,86749,24,0,0,2,2.16,-0.18,2.3400000000000003,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Gustavo Ferrareis,89815,24,0,0.74,9,3.21,0,3.21,NA,2,8,4,11,10,NA,1,20,NA,5,NA,NA,NA,1,NA,NA,NA,2019
267,Vasco,7,Provável,4,mei,Richard,86711,24,7.1,2.06,15,5.23,0.7,4.53,NA,4,18,2,4,20,NA,NA,22,NA,26,NA,NA,NA,NA,NA,NA,NA,2019
277,Santos,6,Nulo,2,lat,Caju,89342,24,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
