clube_id,clube,status_id,status,posicao_id,posicao,apelido,atleta_id,rodada_id,pontos_num,media_num,jogos_num,preco_num,variacao_num,preco_num_anterior,CA,FC,FD,FF,FS,G,I,PE,RB,DD,DP,GS,SG,A,FT,CV,PP,GC,ano
314,Avaí,6,Nulo,3,zag,Gustavo,101316,7,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Ricardo,101491,7,1.5,2.38,4,3.99,-0.52,4.51,NA,3,1,1,1,NA,2,10,5,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,5,ata,Chará,99891,7,11.8,5.95,7,13.02,1.64,11.379999999999999,NA,4,2,5,9,3,1,19,8,NA,NA,NA,NA,NA,1,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Daniel,97349,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,1,gol,Fernando,97543,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,2,lat,Iury,101846,7,0,2.93,3,6.76,0,6.76,1,4,NA,NA,2,NA,NA,14,4,NA,NA,NA,1,1,NA,NA,NA,NA,2019
314,Avaí,7,Provável,5,ata,Caio Paulista,102318,7,2.2,3.2,3,2.78,-0.31,3.09,NA,6,3,2,4,NA,NA,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Bruninho,101716,7,0.5,0.85,2,1.69,-0.12,1.81,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Guga,101319,7,0,5.88,5,8.54,0,8.54,NA,4,NA,1,4,NA,1,18,13,NA,NA,NA,NA,3,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Marquinhos,98765,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Papagaio,102302,7,0,0,1,1.45,0,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Felipe Sousa,101861,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,7,Provável,5,ata,Alerrandro,101715,7,10.8,5.4,2,5.78,2.12,3.66,NA,1,NA,3,4,NA,1,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Marcinho,102380,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Falcão,104104,7,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Terans,102878,7,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,Rodrigo,104328,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,3,zag,Nuno,104326,7,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,1,gol,João Vitor,104329,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hulk,102700,7,0,0,0,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Martín Rea,103093,7,0,0,0,4,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Neto,103706,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,6,Nulo,4,mei,Dudu,104327,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
354,Ceará,6,Nulo,4,mei,Wescley,70925,7,0,0,0,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
314,Avaí,5,Contundido,5,ata,Brizuela,104819,7,0,3.3,3,7.33,0,7.33,NA,2,NA,NA,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,6,Nulo,3,zag,Paulo André,37604,7,0,0.4,3,3.8,0,3.8,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,3,zag,Matheus Stockl,104088,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Renan Guedes,104127,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Gabriel,104404,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Jonathan,37662,7,0,0.8,2,4.71,0,4.71,1,3,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,4,mei,Igor Reis,104408,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
293,Athlético-PR,7,Provável,2,lat,Márcio Azevedo,42491,7,10.5,3.63,6,6.8,2.39,4.41,1,7,NA,NA,8,NA,NA,14,5,NA,NA,NA,2,2,NA,NA,NA,NA,2019
314,Avaí,7,Provável,3,zag,Betão,37646,7,7.4,2.2,6,4.11,1.79,2.3200000000000003,3,6,NA,NA,8,NA,NA,11,11,NA,NA,NA,1,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,5,ata,Raphael Lopes,105198,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
282,Atlético-MG,6,Nulo,2,lat,Hélio Júnior,104622,7,0,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019
