atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
36940,Oswaldo de Oliveira,16,2019,266,Fluminense,6,tec,0,0,0,6.9,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37246,Ney Franco,16,2019,290,Goiás,6,tec,14,3.73,3.25,8.75,8.86,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37614,Evandro,16,2019,277,Santos,4,mei,4,0.6,0.55,4.510000000000001,4.48,-0.03,1,4,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,Dúvida
37646,Betão,16,2019,314,Avaí,3,zag,15,-4.2,1.96,4.6899999999999995,3.04,-1.65,0,4,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,3,Suspenso
37655,Rafael Moura,16,2019,290,Goiás,5,ata,4,-0.3,0.35,3.6,3.39,-0.21,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,Nulo
37656,Fábio,16,2019,283,Cruzeiro,1,gol,13,-1.6,2.95,10.95,9.27,-1.68,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,7,Provável
37657,Edu Dracena,16,2019,275,Palmeiras,3,zag,4,0,4.7,6.97,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37662,Jonathan,16,2019,293,Athlético-PR,2,lat,5,0,4.32,7.3,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Contundido
37673,Alecsandro,16,2019,341,CSA,5,ata,6,0.7,0.83,4.36,4.25,-0.11,1,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,7,Provável
37688,Cícero,16,2019,263,Botafogo,4,mei,14,0,4.56,12.18,12.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
37694,Henrique,16,2019,283,Cruzeiro,4,mei,12,3.9,4.07,8.02,8.26,0.24,3,3,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,Dúvida
37701,Léo Moura,16,2019,284,Grêmio,2,lat,7,0,3,5.69,5.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Contundido
37788,Marcelo Boeck,16,2019,356,Fortaleza,1,gol,1,0,-2.3,3.31,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
37798,Rafael Sobis,16,2019,285,Internacional,5,ata,10,0,3.48,7.54,7.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38001,Anderson,16,2019,265,Bahia,1,gol,1,0,-1,2.08,2.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38140,Fernando Prass,16,2019,275,Palmeiras,1,gol,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38144,Rafinha,16,2019,262,Flamengo,2,lat,5,10.9,4.36,7.69,10.14,2.45,0,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,7,Provável
38162,Fred,16,2019,283,Cruzeiro,5,ata,12,9.1,1.69,6.71,6.79,0.08,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,Dúvida
38196,Maicon,16,2019,284,Grêmio,4,mei,5,0,1.98,7.81,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Nulo
38229,Fábio Santos,16,2019,282,Atlético-MG,2,lat,12,0,3,9.91,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Provável
