rodada_id;clube_casa_id;clube_visitante_id;placar_oficial_mandante;placar_oficial_visitante;clube_casa;clube_visitante;ano;partidas.partida_data;partidas.local
7;316;290;0;1;Figueirense;Goiás;2014;25/05/2014 16:00;Orlando Scarpelli
8;262;316;1;1;Flamengo;Figueirense;2014;29/05/2014 19:30;Morumbi
8;264;283;1;0;Corinthians;Cruzeiro;2014;28/05/2014 22:00;Canindé
8;265;277;0;2;Bahia;Santos;2014;29/05/2014 21:00;Joia da Princesa
8;275;263;0;2;Palmeiras;Botafogo;2014;28/05/2014 19:30;Prudentão
8;282;266;2;0;Atlético-MG;Fluminense;2014;28/05/2014 22:00;João Lamego
8;285;315;2;0;Internacional;Chapecoense;2014;28/05/2014 21:00;Estádio Centenário
8;288;294;1;0;Criciúma;Coritiba;2014;28/05/2014 19:30;Estádio Heriberto Hülse
8;290;287;0;0;Goiás;Vitória;2014;28/05/2014 21:00;Serra Dourada
8;292;284;0;0;Sport;Grêmio;2014;28/05/2014 19:30;Ilha do Retiro
8;293;276;2;2;Atlético-PR;São Paulo;2014;28/05/2014 22:00;Parque do Sabiá
9;264;263;1;1;Corinthians;Botafogo;2014;01/06/2014 16:00;Maracanã
9;266;285;1;1;Fluminense;Internacional;2014;01/06/2014 18:30;Claudio Moacyr
9;276;282;2;1;São Paulo;Atlético-MG;2014;31/05/2014 18:30;Morumbi
9;277;288;2;0;Santos;Criciúma;2014;01/06/2014 18:30;Estádio 1º de Maio
9;283;262;3;0;Cruzeiro;Flamengo;2014;01/06/2014 16:00;João Havelange
9;284;275;0;0;Grêmio;Palmeiras;2014;01/06/2014 16:00;Alfredo Jaconi
9;287;292;0;1;Vitória;Sport;2014;31/05/2014 21:00;Joia da Princesa
9;294;290;3;0;Coritiba;Goiás;2014;31/05/2014 18:30;Durival Britto
9;315;265;2;1;Chapecoense;Bahia;2014;01/06/2014 16:00;Arena Condá
9;316;293;1;3;Figueirense;Atlético-PR;2014;01/06/2014 18:30;Orlando Scarpelli
10;262;293;1;2;Flamengo;Atlético-PR;2014;16/07/2014 22:00;Claudio Moacyr
10;264;285;2;1;Corinthians;Internacional;2014;17/07/2014 19:30;Arena Corinthians
10;265;276;0;2;Bahia;São Paulo;2014;16/07/2014 22:00;Fonte Nova
10;277;275;2;0;Santos;Palmeiras;2014;17/07/2014 19:30;Vila Belmiro
10;283;287;3;1;Cruzeiro;Vitória;2014;17/07/2014 21:00;Mineirão
10;284;290;0;0;Grêmio;Goiás;2014;16/07/2014 19:30;Arena do Grêmio
10;288;266;3;2;Criciúma;Fluminense;2014;16/07/2014 22:00;Estádio Heriberto Hülse
10;292;263;1;0;Sport;Botafogo;2014;16/07/2014 19:30;Ilha do Retiro
10;294;316;0;2;Coritiba;Figueirense;2014;16/07/2014 19:30;Couto Pereira
10;315;282;1;1;Chapecoense;Atlético-MG;2014;06/08/2014 21:00;Arena Condá
11;263;294;1;0;Botafogo;Coritiba;2014;19/07/2014 21:00;Raulino de Oliveira
11;266;277;1;0;Fluminense;Santos;2014;20/07/2014 18:30;Raulino de Oliveira
11;275;283;1;2;Palmeiras;Cruzeiro;2014;20/07/2014 16:00;Pacaembu
11;276;315;0;1;São Paulo;Chapecoense;2014;19/07/2014 18:30;Morumbi
11;282;265;1;1;Atlético-MG;Bahia;2014;19/07/2014 18:30;Independência
11;285;262;4;0;Internacional;Flamengo;2014;20/07/2014 16:00;Beira-Rio
11;287;264;0;0;Vitória;Corinthians;2014;20/07/2014 16:00;Manoel Barradas
11;290;292;0;0;Goiás;Sport;2014;20/07/2014 18:30;Serra Dourada
11;293;288;2;0;Atlético-PR;Criciúma;2014;20/07/2014 18:30;Arena da Baixada
11;316;284;0;1;Figueirense;Grêmio;2014;19/07/2014 18:30;Orlando Scarpelli
12;262;263;1;0;Flamengo;Botafogo;2014;27/07/2014 18:30;Maracanã
12;264;275;2;0;Corinthians;Palmeiras;2014;27/07/2014 16:00;Arena Corinthians
12;265;285;0;1;Bahia;Internacional;2014;26/07/2014 21:00;Fonte Nova
12;277;315;3;0;Santos;Chapecoense;2014;26/07/2014 18:30;Vila Belmiro
12;283;316;5;0;Cruzeiro;Figueirense;2014;26/07/2014 18:30;Mineirão
12;284;294;2;3;Grêmio;Coritiba;2014;27/07/2014 18:30;Arena do Grêmio
12;288;287;1;3;Criciúma;Vitória;2014;26/07/2014 18:30;Estádio Heriberto Hülse
12;290;276;2;1;Goiás;São Paulo;2014;27/07/2014 16:00;Serra Dourada
12;292;282;2;1;Sport;Atlético-MG;2014;27/07/2014 16:00;Ilha do Retiro
