clube_id,clube,rodada_id,clube_rank,ano
282,Atlético-MG,10,2,2015
293,Atlético-PR,10,5,2015
314,Avaí,10,13,2015
315,Chapecoense,10,10,2015
264,Corinthians,10,6,2015
294,Coritiba,10,19,2015
283,Cruzeiro,10,14,2015
316,Figueirense,10,12,2015
262,Flamengo,10,15,2015
266,Fluminense,10,3,2015
290,Goiás,10,17,2015
284,Grêmio,10,4,2015
285,Internacional,10,11,2015
317,Joinville,10,20,2015
275,Palmeiras,10,9,2015
303,PontePreta,10,8,2015
277,Santos,10,16,2015
276,SãoPaulo,10,7,2015
292,Sport,10,1,2015
267,Vasco,10,18,2015
