clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,14,3,2019
263,Botafogo,14,7,2019
264,Corinthians,14,6,2019
265,Bahia,14,10,2019
266,Fluminense,14,16,2019
267,Vasco,14,14,2019
275,Palmeiras,14,2,2019
276,São Paulo,14,5,2019
277,Santos,14,1,2019
282,Atlético-MG,14,4,2019
283,Cruzeiro,14,17,2019
284,Grêmio,14,13,2019
285,Internacional,14,8,2019
290,Goiás,14,12,2019
293,Athlético-PR,14,11,2019
314,Avaí,14,20,2019
315,Chapecoense,14,18,2019
341,CSA,14,19,2019
354,Ceará,14,9,2019
356,Fortaleza,14,15,2019
