clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,20,1,2019
263,Botafogo,20,11,2019
264,Corinthians,20,5,2019
265,Bahia,20,8,2019
266,Fluminense,20,17,2019
267,Vasco,20,13,2019
275,Palmeiras,20,2,2019
276,São Paulo,20,6,2019
277,Santos,20,3,2019
282,Atlético-MG,20,10,2019
283,Cruzeiro,20,18,2019
284,Grêmio,20,7,2019
285,Internacional,20,4,2019
290,Goiás,20,12,2019
293,Athlético-PR,20,9,2019
314,Avaí,20,19,2019
315,Chapecoense,20,20,2019
341,CSA,20,16,2019
354,Ceará,20,14,2019
356,Fortaleza,20,15,2019
