clube_id,clube,rodada_id,clube_rank,ano
262,Flamengo,29,1,2019
263,Botafogo,29,13,2019
264,Corinthians,29,5,2019
265,Bahia,29,8,2019
266,Fluminense,29,16,2019
267,Vasco,29,11,2019
275,Palmeiras,29,2,2019
276,São Paulo,29,4,2019
277,Santos,29,3,2019
282,Atlético-MG,29,12,2019
283,Cruzeiro,29,17,2019
284,Grêmio,29,7,2019
285,Internacional,29,6,2019
290,Goiás,29,10,2019
293,Athlético-PR,29,9,2019
314,Avaí,29,20,2019
315,Chapecoense,29,19,2019
341,CSA,29,18,2019
354,Ceará,29,15,2019
356,Fortaleza,29,14,2019
