atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
38109,Jefferson,8,2016,263,Botafogo,1,gol,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68698,Bruno Silva,8,2016,263,Botafogo,4,mei,0,1.1,2.79,6.28,6.46,-0.18,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,NA,NA
93697,Gervasio Núñez,8,2016,263,Botafogo,4,mei,0,0.8,0.67,2.89,2.97,-0.08,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
70916,Diogo Barbosa,8,2016,263,Botafogo,2,lat,0,-0.5,2.1,2.5300000000000002,3.41,-0.88,1,4,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,NA,NA
68900,Geovane Maranhão,8,2016,263,Botafogo,5,ata,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
89885,Leandrinho,8,2016,263,Botafogo,4,mei,0,6.4,1.62,4.449999999999999,3.32,1.13,2,2,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,NA,NA
84324,Octávio,8,2016,263,Botafogo,4,mei,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
72362,Rodrigo Lindoso,8,2016,263,Botafogo,4,mei,0,0,5.17,13.65,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
72037,Renan Fonseca,8,2016,263,Botafogo,3,zag,0,-1.4,-1.07,1.29,1.49,-0.2,1,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,NA,NA
77772,Canales,8,2016,263,Botafogo,5,ata,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
95638,Marcelo,8,2016,263,Botafogo,3,zag,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
71032,Lucas Zen,8,2016,263,Botafogo,4,mei,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
61985,Airton,8,2016,263,Botafogo,4,mei,0,2.7,1.1,6.41,5.88,0.53,2,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,NA,NA
70222,Sidão,8,2016,263,Botafogo,1,gol,0,4,3.85,4.5600000000000005,4.03,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,NA,NA
38928,Dudu Cearense,8,2016,263,Botafogo,4,mei,0,0,3,4.91,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
79578,Sassá,8,2016,263,Botafogo,5,ata,0,28.2,6.67,16.51,10.97,5.54,3,0,0,0,2,0,3,2,0,1,0,0,0,0,0,0,0,0,NA,NA
91783,Diego,8,2016,263,Botafogo,2,lat,0,0,3.15,3.64,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
90399,Fernandes,8,2016,263,Botafogo,4,mei,0,6.8,4.49,11.94,10.42,1.52,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,NA,NA
91222,Dierson,8,2016,263,Botafogo,4,mei,0,0,2.2,2.93,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
94068,Ribamar,8,2016,263,Botafogo,5,ata,0,0.7,1.48,6.6499999999999995,6.93,-0.28,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA
86410,Victor Luis,8,2016,263,Botafogo,2,lat,0,0,5.75,12.94,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
93797,Marcinho,8,2016,263,Botafogo,2,lat,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
90336,Jean,8,2016,263,Botafogo,2,lat,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
92128,Luis Henrique,8,2016,263,Botafogo,5,ata,0,0,-1.5,6.24,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
89492,Saulo,8,2016,263,Botafogo,1,gol,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
94067,Matheus Fernandes,8,2016,263,Botafogo,4,mei,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
80224,Lizio,8,2016,263,Botafogo,4,mei,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
41273,Ricardo Gomes,8,2016,263,Botafogo,6,tec,0,6.41,3.38,9.68,8.67,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68901,Rodrigo Pimpão,8,2016,263,Botafogo,5,ata,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
86972,Emerson Santos,8,2016,263,Botafogo,3,zag,0,0,2.08,4.75,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
95694,Victor Hugo,8,2016,263,Botafogo,1,gol,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
50413,Anderson Aquino,8,2016,263,Botafogo,5,ata,0,0,1.5,3.96,3.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
51299,Emerson Silva,8,2016,263,Botafogo,3,zag,0,4.2,1.44,4.81,4.17,0.64,2,3,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,NA,NA
55348,Luis Ricardo,8,2016,263,Botafogo,2,lat,0,7.5,4.12,9.49,8.49,1,1,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,NA,NA
83772,Neilton,8,2016,263,Botafogo,5,ata,0,9.6,4.16,11.520000000000001,9.46,2.06,2,5,1,0,4,2,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA
84592,Salgueiro,8,2016,263,Botafogo,5,ata,0,0.4,1.05,5.66,5.63,0.03,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
79973,Helton Leite,8,2016,263,Botafogo,1,gol,0,0,2.33,6.22,6.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
93414,Joel Carli,8,2016,263,Botafogo,3,zag,0,0,1.1,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
82474,Gegê,8,2016,263,Botafogo,4,mei,0,0,0.83,5.15,5.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
93795,Matheus Cabral,8,2016,263,Botafogo,1,gol,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
92497,Douglas,8,2016,266,Fluminense,4,mei,0,3.5,4.28,6.73,6.12,0.61,0,1,0,0,1,0,0,0,0,4,4,0,1,0,0,0,0,0,NA,NA
92290,Matheus Pato,8,2016,266,Fluminense,5,ata,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
87999,Gustavo Scarpa,8,2016,266,Fluminense,4,mei,0,0.5,3.42,11.02,12.39,-1.37,1,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
62130,William Matheus,8,2016,266,Fluminense,2,lat,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68887,Gum,8,2016,266,Fluminense,3,zag,0,6.8,4.46,16.77,15.47,1.3,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA
68827,Renato Chaves,8,2016,266,Fluminense,3,zag,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
72097,Giovanni,8,2016,266,Fluminense,2,lat,0,0,5.7,8.85,8.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
81951,Igor Julião,8,2016,266,Fluminense,2,lat,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
37688,Cícero,8,2016,266,Fluminense,4,mei,0,4.3,1.21,9.030000000000001,8.07,0.96,1,3,0,0,1,1,1,1,1,0,2,0,0,0,0,0,0,0,NA,NA
37662,Jonathan,8,2016,266,Fluminense,2,lat,0,4.1,2.99,10.55,9.32,1.23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA
49673,Júlio César,8,2016,266,Fluminense,1,gol,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
36650,Magno Alves,8,2016,266,Fluminense,5,ata,0,-0.8,-0.22,3.65,4.08,-0.43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA
91815,Ygor Nogueira,8,2016,266,Fluminense,3,zag,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
94583,Pedro,8,2016,266,Fluminense,5,ata,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
90311,Bryan Olivera,8,2016,266,Fluminense,4,mei,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
80538,Marlon Santos,8,2016,266,Fluminense,3,zag,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
92081,Richarlison ,8,2016,266,Fluminense,5,ata,0,1.5,1.76,6.7299999999999995,6.76,-0.03,2,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,NA,NA
92438,Matheus Phillipe,8,2016,266,Fluminense,1,gol,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
88393,Ayrton ,8,2016,266,Fluminense,2,lat,0,0,4.7,3.7,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
85121,Robert ,8,2016,266,Fluminense,4,mei,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
80188,Marcos Junior,8,2016,266,Fluminense,5,ata,0,-0.3,1.87,4.67,6.41,-1.74,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,NA,NA
80370,Edson,8,2016,266,Fluminense,4,mei,0,2.3,3.2,6.81,6.64,0.17,1,2,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,NA,NA
73806,Samuel ,8,2016,266,Fluminense,5,ata,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
73511,Dudu,8,2016,266,Fluminense,4,mei,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
71892,Wellington Silva,8,2016,266,Fluminense,2,lat,0,9,4.28,12.15,11.06,1.09,1,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,NA,NA
73513,Maranhão,8,2016,266,Fluminense,4,mei,0,-1.3,0.7,1.49,2.25,-0.76,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,NA,NA
38431,Diego Cavalieri,8,2016,266,Fluminense,1,gol,0,8,2.79,11.74,9.83,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,NA,NA
