atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
38109,Jefferson,17,2016,263,Botafogo,1,gol,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68698,Bruno Silva,17,2016,263,Botafogo,4,mei,0,0.8,3.44,7.7299999999999995,7.81,-0.08,0,1,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,0,NA,NA
93697,Gervasio Núñez,17,2016,263,Botafogo,4,mei,0,0,1.53,3.36,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
70916,Diogo Barbosa,17,2016,263,Botafogo,2,lat,0,-0.7,3.36,4.38,4.85,-0.47,2,2,0,0,0,1,0,0,0,1,3,0,1,0,0,0,0,0,NA,NA
68900,Geovane Maranhão,17,2016,263,Botafogo,5,ata,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
88651,Vinícius Tanque,17,2016,263,Botafogo,5,ata,0,0.5,0,1.25,1.3,-0.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
89885,Leandrinho,17,2016,263,Botafogo,4,mei,0,0,2.41,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
72362,Rodrigo Lindoso,17,2016,263,Botafogo,4,mei,0,11.5,5.57,15.99,14.64,1.35,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
72037,Renan Fonseca,17,2016,263,Botafogo,3,zag,0,-0.7,0.68,1.8199999999999998,2.01,-0.19,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
77772,Canales,17,2016,263,Botafogo,5,ata,0,-1.2,0.37,4.6499999999999995,5.35,-0.7,3,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,NA,NA
95638,Marcelo,17,2016,263,Botafogo,3,zag,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
71032,Lucas Zen,17,2016,263,Botafogo,4,mei,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
61985,Airton,17,2016,263,Botafogo,4,mei,0,5.7,1.52,6.5200000000000005,6.12,0.4,7,6,0,0,0,0,0,0,0,5,5,0,1,0,0,0,0,0,NA,NA
70222,Sidão,17,2016,263,Botafogo,1,gol,0,7.5,2.05,7.449999999999999,5.31,2.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,NA,NA
38928,Dudu Cearense,17,2016,263,Botafogo,4,mei,0,3.5,3.25,4.75,4.83,-0.08,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA
79578,Sassá,17,2016,263,Botafogo,5,ata,0,0,5.56,7.98,7.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
91783,Diego,17,2016,263,Botafogo,2,lat,0,0,3.15,3.64,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
90399,Fernandes,17,2016,263,Botafogo,4,mei,0,0,4.03,10.27,10.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
91222,Dierson,17,2016,263,Botafogo,4,mei,0,0,2.2,2.93,2.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
94068,Ribamar,17,2016,263,Botafogo,5,ata,0,0,1.22,6.28,6.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
86410,Victor Luis,17,2016,263,Botafogo,2,lat,0,0,4.81,11.22,11.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
93797,Marcinho,17,2016,263,Botafogo,2,lat,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
92128,Luis Henrique,17,2016,263,Botafogo,5,ata,0,0,-0.58,4.22,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
89492,Saulo,17,2016,263,Botafogo,1,gol,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
62009,Camilo,17,2016,263,Botafogo,4,mei,0,12,7.54,15.690000000000001,14.23,1.46,1,3,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,NA,NA
80224,Lizio,17,2016,263,Botafogo,4,mei,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
41273,Ricardo Gomes,17,2016,263,Botafogo,6,tec,0,5.17,3.79,10.649999999999999,9.86,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68901,Rodrigo Pimpão,17,2016,263,Botafogo,5,ata,0,0,-1.03,4.16,4.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
86972,Emerson Santos,17,2016,263,Botafogo,3,zag,0,4.7,4.1,7.14,6.43,0.71,1,6,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,NA,NA
