atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
50301,Everton,27,2016,262,Flamengo,4,mei,0,1.2,2.62,12.469999999999999,12.35,0.12,1,4,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,NA,NA
68953,Leandro Damião,27,2016,262,Flamengo,5,ata,0,0,3.71,8.84,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
95861,Thiago Ennes,27,2016,262,Flamengo,2,lat,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
73421,Rafael Vaz,27,2016,262,Flamengo,3,zag,0,1.3,3,8.350000000000001,10.22,-1.87,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,NA,NA
36540,Juan,27,2016,262,Flamengo,3,zag,0,0,3.35,11.91,11.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68685,Alan Patrick,27,2016,262,Flamengo,4,mei,0,11.7,4.23,15.09,13.15,1.94,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA
68711,Chiquinho,27,2016,262,Flamengo,2,lat,0,0,2.98,3.2,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
74083,Adryan ,27,2016,262,Flamengo,4,mei,0,0,-0.13,2.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
90320,Igor,27,2016,262,Flamengo,3,zag,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
88065,Jorge,27,2016,262,Flamengo,2,lat,0,4.1,5.18,19.099999999999998,19.77,-0.67,1,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,NA,NA
89258,Daniel,27,2016,262,Flamengo,1,gol,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68744,Emerson,27,2016,262,Flamengo,5,ata,0,0,0.82,1.44,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
68758,Fernandinho,27,2016,262,Flamengo,5,ata,0,1.4,3.24,7.29,7.13,0.16,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA
68873,Paulo Victor,27,2016,262,Flamengo,1,gol,0,0,6.23,13.19,13.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
71066,Mancuello,27,2016,262,Flamengo,4,mei,0,8.7,3.24,11.579999999999998,10.29,1.29,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA
79066,Alex Muralha,27,2016,262,Flamengo,1,gol,0,4,4.08,8.44,8.94,-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,NA,NA
95780,Zé Ricardo,27,2016,262,Flamengo,6,tec,0,4.77,4.22,13.82,13.9,-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
75295,Paolo Guerrero,27,2016,262,Flamengo,5,ata,0,8.2,3.65,9.66,8.48,1.18,1,1,0,0,3,0,1,1,0,0,5,0,0,0,0,0,0,0,NA,NA
73918,Canteros,27,2016,262,Flamengo,4,mei,0,0,0.15,3.28,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
73992,Rodinei,27,2016,262,Flamengo,2,lat,0,0,4.41,13.21,13.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
71709,Cuéllar,27,2016,262,Flamengo,4,mei,0,0,1.95,11.65,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
94138,Felipe Vizeu,27,2016,262,Flamengo,5,ata,0,0,3.59,6.61,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
94214,Léo Duarte,27,2016,262,Flamengo,3,zag,0,0,2.28,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
91264,Matheus Sávio,27,2016,262,Flamengo,5,ata,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
