rodada_id,clube_casa_id,clube_visitante_id,placar_oficial_mandante,placar_oficial_visitante,clube_casa,clube_visitante,ano,partidas.partida_data,partidas.local
17,267,317,0,0,Vasco,Joinville,2015,09/08/2015 11:00,Maracanã
17,276,264,1,1,São Paulo,Corinthians,2015,09/08/2015 16:00,Morumbi
17,277,294,3,0,Santos,Coritiba,2015,08/08/2015 21:00,Vila Belmiro
17,283,275,2,1,Cruzeiro,Palmeiras,2015,09/08/2015 16:00,Mineirão
17,284,285,5,0,Grêmio,Internacional,2015,09/08/2015 18:30,Arena do Grêmio
17,290,282,0,0,Goiás,Atlético-MG,2015,09/08/2015 16:00,Serra Dourada
17,293,292,1,1,Atlético-PR,Sport,2015,09/08/2015 11:00,Arena da Baixada
17,303,262,1,0,Ponte Preta,Flamengo,2015,09/08/2015 16:00,Moisés Lucarelli
17,314,266,1,0,Avaí,Fluminense,2015,08/08/2015 18:30,Ressacada
17,315,316,2,2,Chapecoense,Figueirense,2015,09/08/2015 18:30,Arena Condá
