clube_id,clube,rodada_id,clube_rank,ano
373,Atlético-GO,31,20,2017
282,Atlético-MG,31,10,2017
293,Atlético-PR,31,9,2017
314,Avaí,31,18,2017
265,Bahia,31,13,2017
263,Botafogo,31,6,2017
315,Chapecoense,31,12,2017
264,Corinthians,31,1,2017
294,Coritiba,31,16,2017
283,Cruzeiro,31,5,2017
262,Flamengo,31,7,2017
266,Fluminense,31,14,2017
284,Grêmio,31,4,2017
275,Palmeiras,31,2,2017
303,PontePreta,31,17,2017
277,Santos,31,3,2017
276,SãoPaulo,31,11,2017
292,Sport,31,15,2017
267,Vasco,31,8,2017
287,Vitória,31,19,2017
