clube_id,clube,rodada_id,clube_rank,ano
373,Atlético-GO,10,20,2017
282,Atlético-MG,10,14,2017
293,Atlético-PR,10,12,2017
314,Avaí,10,19,2017
265,Bahia,10,17,2017
263,Botafogo,10,7,2017
315,Chapecoense,10,13,2017
264,Corinthians,10,1,2017
294,Coritiba,10,9,2017
283,Cruzeiro,10,10,2017
262,Flamengo,10,3,2017
266,Fluminense,10,8,2017
284,Grêmio,10,2,2017
275,Palmeiras,10,4,2017
303,PontePreta,10,11,2017
277,Santos,10,5,2017
276,SãoPaulo,10,16,2017
292,Sport,10,15,2017
267,Vasco,10,6,2017
287,Vitória,10,18,2017
